historical_hotel,City
Saracens Head,BALLARAT
Wheatsheaf Inn,BALLARAT
Harp of Erin,BALLARAT
Red Lion,BALLARAT
Montezuma,BALLARAT
Star,BALLARAT
Duke of York,BALLARAT
Canadian,BALLARAT
Free Trade,BALLARAT
Bridge Inn,BALLARAT
Eglington,BALLARAT
Ballarat Cricket Ground,BALLARAT
Great Britain,BALLARAT
Swamp,BALLARAT
Coachmans Arms,BALLARAT
White Swan,BALLARAT
Duchess of Kent,BALLARAT
Red House,BALLARAT
Mount Rowan,BALLARAT
Golden Age,BALLARAT
Golden Lion,BALLARAT
Agric Implements,BALLARAT
Shakespeare,BALLARAT
Stewarts Family,BALLARAT
Miners Right,BALLARAT
Unicorn,BALLARAT
Rose of Australia,BALLARAT
Fountain Head,BALLARAT
Prince Albert,BALLARAT
Market Square,BALLARAT
Crown & Anchor,BALLARAT
Roddas Shop,BALLARAT
School,BALLARAT
Robert Burns,BALLARAT
Methodist Church,BALLARAT
Sewerage Viaduct,BALLARAT
Prince Regent,BALLARAT
Perth & Fyfe Arms,BALLARAT
Lover of Justice,BALLARAT
Cottage Inn,BALLARAT
Lamb Inn,BALLARAT
Odd Fellows,BALLARAT
Sir Henry Barkly,BALLARAT
Suburban House,BALLARAT
Supreme Court,BALLARAT
Scotch Thistle,BALLARAT
Terminus,BALLARAT
Junction,BALLARAT
Nth Grenville,BALLARAT
Mathers,BALLARAT
North British,BALLARAT
Stag,BALLARAT
Blue Bell,BALLARAT
Harvest Home,BALLARAT
Duchess of Lancaster,BALLARAT
Spread Eagle,BALLARAT
Native Youth,BALLARAT
Geelong,BALLARAT
Diggers Arms,BALLARAT
Burnbank,BALLARAT
Carpenters & Joiners,BALLARAT
Dunmow Flitch of Bacon,BALLARAT
Surrey Coal Hole,BALLARAT
Foys,BALLARAT
Plough Inn,BALLARAT
Help me through the world,BALLARAT
Farleys,BALLARAT
Brunswick,BALLARAT
Staffordshire,BALLARAT
Harris Family,BALLARAT
Green Dragon,BALLARAT
Ulster Arms,BALLARAT
Daniel OConnell Tavern,BALLARAT
Thistle,BALLARAT
Emu Inn,BALLARAT
Black Hill,BALLARAT
London Shades,BALLARAT
All Nations,BALLARAT
Cornwall Arms,BALLARAT
Daniel OConnell,BALLARAT
Library,BALLARAT
Lonies Fcy,BALLARAT
Foundry,BALLARAT
Ulster,BALLARAT
Garry Owen,BALLARAT
White Hart Inn,BALLARAT
Horse & Jockey,BALLARAT
Hope & Anchor,BALLARAT
Edinburgh,BALLARAT
Devonshire,BALLARAT
Theatre Royal,BALLARAT
Humffrays,BALLARAT
Port Phillips,BALLARAT
Telegraph,BALLARAT
Salutation,BALLARAT
White Flat House,BALLARAT
White Flat,BALLARAT
Grand Junction,BALLARAT
Great Extended,BALLARAT
Bone Mills,BALLARAT
Temperance Boarding House,BALLARAT
St Alipius Church,BALLARAT
North Western,BALLARAT
Greenock,BALLARAT
Cape of Good Hope,BALLARAT
Crowthers,BALLARAT
