accommodation_name,accommodation_address,accommodation_rating,City
Pelicans Motel San Remo,"43 Back Beach Rd, San Remo VIC 3925, Australia",3.2,WONTHAGGI
Inverloch Esplanade Hotel,"1 A'Beckett St, Inverloch VIC 3996, Australia",4.0,WONTHAGGI
Chateau Bass,"6 Bass Rd, Bass VIC 3991, Australia",4.5,WONTHAGGI
Cape Paterson Holiday Park,"1 Surf Beach Rd, Cape Paterson VIC 3995, Australia",4.2,WONTHAGGI
Golden Chain Quays Motel,"37/39 Phillip Island Rd, San Remo VIC 3925, Australia",4.6,WONTHAGGI
Coal Creek Motel,"8444 S Gippsland Hwy, Korumburra VIC 3950, Australia",3.6,WONTHAGGI
Wonthaggi Cottage,"20 Baillieu St E, Wonthaggi VIC 3995, Australia",5.0,WONTHAGGI
Drouin Motel,"275 Princes Way, Drouin VIC 3818, Australia",4.5,DROUIN
Comfort Inn Drouin,"275 Princes Way, Drouin VIC 3818, Australia",3.1,DROUIN
The Royal Hotel Drouin,"2/4 Main S Rd, Drouin VIC 3818, Australia",4.2,DROUIN
Comfort Inn & Suites Warragul,"1845 Princes Way, Warragul VIC 3820, Australia",4.1,DROUIN
The Robin Hood Inn,"655 Princes Way, Drouin West VIC 3818, Australia",4.0,DROUIN
Longwarry Hotel,"4 Kennedy St, Longwarry VIC 3816, Australia",4.3,DROUIN
Warragul Views Motor Inn,"50 Rulemount Rd, Warragul VIC 3820, Australia",3.7,DROUIN
Mercure Warragul,"23 Mason St, Warragul VIC 3820, Australia",4.4,DROUIN
mecure hotel,"23 Mason St, Warragul VIC 3820, Australia",0.0,DROUIN
Commercial Hotel,"115 Queen St, Warragul VIC 3820, Australia",4.0,DROUIN
Neerim South Hotel,"91-109 Main Neerim Rd, Neerim South VIC 3831, Australia",4.4,DROUIN
Garfield Hotel,"95 Main St, Garfield VIC 3814, Australia",4.2,DROUIN
Linbridgeford,"148 Princes Way, Drouin VIC 3818, Australia",4.0,DROUIN
El-Paso Caravan Park,"262-270 Princes Way, Drouin VIC 3818, Australia",4.1,DROUIN
Glen Cromie Reserve,"850 Main Neerim Rd, Drouin West VIC 3818, Australia",4.3,DROUIN
Club Hotel,"51 Queen St, Warragul VIC 3820, Australia",4.2,DROUIN
Ravenswood Accommodation,"7 Main S Rd, Drouin VIC 3818, Australia",4.5,DROUIN
Yarragon Motel,"119 Princes Hwy, Yarragon VIC 3823, Australia",4.4,DROUIN
