,Hotel_name,City,Hotel_price,Hotel_rating
190,Vintage Heaven - located at Healesville,HEALESVILLE,210,5.0
191,Modern 1-BR Apartment + Seaview!,MELBOURNE,157,4.7
192,Alpino Apartments Marysville,MARYSVILLE (VICTORIA),276,4.8
193,Balwyn Views Apartments,MELBOURNE,189,5.0
194,Village BELLE Stunning home in Yarraville Village,MELBOURNE,282,4.8
195,"""206 Studio on Acland"" - Pearl Apartments",MELBOURNE,135,5.0
196,Stylishly appointed Family Executives Parking Cafes 350m Public Transport,MELBOURNE,305,4.7
197,Petite and Sweet Pad close to St Kilda Beach,MELBOURNE,129,4.7
198,Homewood Apartment-Self contained apartment,CITY OF GREATER SHEPPARTON,102,5.0
199,CONVENIENCE in Melbourne CBD 1BR Apt + FREE WIFI,MELBOURNE,257,3.1
200,Nelse Lodge,FALLS CREEK,190,4.5
201,Long Stay Discount Parking Degraves St Corporates FamiliesCouples Shopping,MELBOURNE,342,4.5
202,Waterfront 2 Bedroom - Freshwater Place,MELBOURNE,389,4.6
203,Stylish 2-bed 2 bath with free parking+pool+gym+wifi,MELBOURNE,251,4.5
204,Light airey 2 storey 2 deck penthouse in Collingwood nr cafes restaurants trams,MELBOURNE,345,5.0
205,Forget Me Not Moonlight Blue Miners' Cottage Daylesford,DAYLESFORD,181,4.8
206,Upper West Side - Madison,MELBOURNE,271,4.9
207,Apartments @ Port of Sale 2 bedrooms,SHIRE OF WELLINGTON,210,4.7
208,Elegant 2BR@Footscray Station,MELBOURNE,216,5.0
209,Bungunyah Apartments: Margriet,MELBOURNE,200,5.0
210,Melbourne Chinatown 2 bedrooms APARTMENTs,MELBOURNE,237,5.0
211,Stylish 2 bedroom Victorian terrace 1860's old charm & modern renovation!,MELBOURNE,431,5.0
212,StayCentral in Brunswick & Parkville 2Br near cafes restaurants shops bars trams,MELBOURNE,278,4.5
213,The Hive Graffiti Apartments,MELBOURNE,169,4.8
214,Bungunyah Apartments: Kaori,MELBOURNE,209,4.6
215,Brand New APT with Sea Views in Heart of St Kilda,MELBOURNE,207,3.8
216,Modern Apartment - Southbank,MELBOURNE,285,4.4
217,Wheelchair Accessible 1 Bedroom Apartment,MELBOURNE,162,3.8
218,Blue Rosella on Piper,KYNETON,276,4.6
219,Luxury Art Deco Lifestyle,MELBOURNE,235,4.8
220,Beachfront Apartment Elwood,MELBOURNE,182,3.8
221,StayCentral on Northcote Hill views shops trams,MELBOURNE,327,5.0
222,'Bogong' a romantic chalet for couples,DINNER PLAIN,455,4.9
223,"""Sea Breeze"" - Pearl Apartments St Kilda",MELBOURNE,102,5.0
224,DesignLife :Spacious Design Location,MELBOURNE,220,5.0
225,Cozy APT Opposite Southern Cross station,MELBOURNE,258,3.9
226,Family Friendly: Feed your soul : Cosy and warm.,SHIRE OF MOORABOOL,123,4.5
227,Hawthorn East 2 Bedroom Apt Wifi Netflix Parking quiet,MELBOURNE,120,4.1
228,Light-Filled Beachside Apartment in Trendy Area,MELBOURNE,155,5.0
229,8 minutes Walk to clayton train station close to monash medical center.,MELBOURNE,180,4.2
230,Briar Hill Accommodation,MELBOURNE,149,4.5
231,BOUTIQUE STAYS  Ace's Place - perfectly located near Chapel and Swan streets,MELBOURNE,214,4.2
232,Kiss me by the City-quiet & pretty inner city retreat to unwind & rejuvenate,MELBOURNE,331,3.2
233,The Residence - Domain,MELBOURNE,460,4.7
234,Whole Apartment right in the heart of Melbourne,MELBOURNE,233,4.8
235,Delightful Cozy & Modern House,MELBOURNE,159,4.2
236,Blackburn Holiday Apartment 5,MELBOURNE,136,4.2
237,Serena Cottages 361 reids way,SHIRE OF INDIGO,165,4.8
238,Bright Apartment with City Views in Trendy Locale,MELBOURNE,169,2.6
239,Sublime Southbank - Incredible Views and Location,MELBOURNE,381,4.9
240,CORONET CASTLE PET FRIENDLY,CORONET BAY,391,5.0
241,Avant  Sleek CBD Apartment with Skyline Views,MELBOURNE,182,2.6
242,4-Poster Bed Room in Mountain Cottage,WARBURTON,56,4.1
243,Spacious apartment within minutes of Acland Street,MELBOURNE,168,4.2
244,Airport West Stunner,MELBOURNE,430,5.0
245,Charan Lane Comfortable Townhouse in Heritage Inner Suburb Location,MELBOURNE,309,5.0
246,Boutique Stays - Victorian Vogue Richmond House,MELBOURNE,636,4.8
247,Bungunyah Apartments: Waratah,MELBOURNE,209,5.0
248,St Kilda  Home away from Home 2BR,MELBOURNE,163,5.0
249,Architecturally Designed 2 Bedroom Apartment,MELBOURNE,354,4.8
250,Clarendon Towers - 2 bedroom apartment,MELBOURNE,315,4.3
251,Seaside Melbourne accommodation,MELBOURNE,132,3.2
252,TOP DECK APARTMENT - PORTSEA,MELBOURNE,379,4.4
253,Merrimont Downs - Country Escape - set on magnificent acreage property,MERRIJIG,497,5.0
254,Modern 1 Bedroom Apartment In Tranquil Parklands,MELBOURNE,149,3.8
255,DeBeers Townhouses Bendigo,BENDIGO,188,5.0
256,Modern & Stylish Apartment in the heart of Melbourne| Pool Gym Sauna,MELBOURNE,167,4.6
257,Self contained two-bedroom unit in a bush garden setting,MELBOURNE,195,5.0
258,Perfect Location - 2 Bedroom Modern Unit,BENDIGO,160,4.7
259,Close to Everything Entire St Kilda Queen Bed Apartment,MELBOURNE,130,4.5
260,Bungunyah Apartments: Maasai,MELBOURNE,209,5.0
261,A Modern 2BR Apt 5-min Walk to Melbourne Central,MELBOURNE,177,4.6
262,Courtyard Cottage - charming heritage self-contained hideaway,HEALESVILLE,412,4.2
263,Les Chalets 14 - Ski in Ski out,FALLS CREEK,236,4.8
264,Melbourne Airport - 1 bedroom Apartment,MELBOURNE,117,3.2
265,Betty's Place - Accommodation in Heyfield,SHIRE OF WELLINGTON,171,5.0
266,Heatherlie Cottages Halls Gap,HALLS GAP,179,4.8
267,Private suite with garden and river views,MELBOURNE,117,4.2
268,Contemporary Luxury With Views At Maya Waterfront,MELBOURNE,236,3.2
269,Amazing 3 Bedroom Apartment in Melbourne Central CBD!,MELBOURNE,271,4.8
270,Pride Fawkner Apt Bay-view 4 Free PARKING+POOL PaperRolls HandWash * Mask,MELBOURNE,232,4.5
271,Melbourne Soul 108 sleeps 2-6,MELBOURNE,187,4.9
272,Modern 1 Bedroom Apartment With Rooftop Terrace And Spa,MELBOURNE,181,2.6
273,Stunning 2 Bed 2 Bath Apartment at St Kilda Free WiFi Carpark,MELBOURNE,171,4.5
274,B&B on Piper - Beautiful Cottage Accommodation,KYNETON,265,4.7
275,Plough Cottage Country getaway,HOWQUA INLET,287,4.1
276,Comfy 2BR Suite Near Flemington Races FREE Parking,MELBOURNE,471,4.5
277,Lovely Classic Apartment Steps From Beach,MELBOURNE,175,5.0
278,Willowbank at Taggerty,SHIRE OF MURRINDINDI,309,4.8
279,House on the Red Hill,RED HILL SOUTH,774,5.0
