City,Council
Breakaway Creek (3303),Glenelg S  
Breakwater (3219),Greater Geelong C  
Breakwater Creek (3219),Moyne S  
Breamlea (3227),Greater Geelong C  
Breamlea (3227),Surf Coast S  
Brenanah (3517),Loddon S  
Brewster (3352),Pyrenees S  
Briagolong (3860),Wellington S  
Briar Hill (3088),Banyule C  
Briar Hill (3088),Nillumbik S  
Bridge Creek (3723),Benalla RC  
Bridge Creek (3723),Mansfield S  
Bridge Inn (3380),Northern Grampians S  
Bridgewater (3516),Loddon S  
Bridgewater North (3516),Loddon S  
Bridgewater on London (3516),Loddon S  
Bright (3741),Alpine S  
Brighton (3186),Bayside C  
Brighton East (3187),Bayside C  
Brighton East (3187),Glen Eira C  
Brim (3391),Yarriambiack S  
Brimboal (3312),Glenelg S  
Brimin (3685),Indigo S  
Brimpaen (3401),Horsham RC  
Brimpaen (3401),Northern Grampians S  
Bringalbert (3319),West Wimmera S  
Brit Brit (3315),Southern Grampians S  
Broadford (3658),Mitchell S  
Broadlands (3875),East Gippsland S  
Broadmeadows (3047),Hume C  
Broadwater (3301),Moyne S  
Brodribb River (3888),East Gippsland S  
Broken Creek (3673),Benalla RC  
Bromley (3472),Central Goldfields S  
Brookfield (3338),Melton S  
Brooklyn (3012),Brimbank C  
Brooklyn (3012),Hobsons Bay C  
Brooklyn (3012),Maribyrnong C  
Brookville (3896),East Gippsland S  
Broomfield (3364),Hepburn S  
Broughton (3418),Hindmarsh S  
Broughton (3418),West Wimmera S  
Brown Hill (3350),Ballarat C  
Browns Plains (3685),Indigo S  
Bruarong (3749),Indigo S  
Bruces Creek (3757),Whittlesea C  
Brucknell (3268),Corangamite S  
Brucknell (3268),Moyne S  
Brunswick (3056),Moreland C  
Brunswick East (3057),Moreland C  
Brunswick West (3055),Moreland C  
Bruthen (3885),East Gippsland S  
Buangor (3375),Ararat RC  
Buangor (3375),Pyrenees S  
Buchan (3885),East Gippsland S  
Buchan South (3885),East Gippsland S  
Buckland (3740),Alpine S  
Buckley (3240),Surf Coast S  
Buckley Swamp (3301),Sthn Grampians S  
Buckrabanyule (3525),Buloke S  
Buckrabanyule (3525),Loddon S  
Budgee Budgee (3862),Wellington S  
Budgeree (3870),Latrobe C  
Budgerum East (3579),Gannawarra S  
Buffalo (3958),South Gippsland S  
Buffalo Creek (3958),Alpine S  
Buffalo River (3737),Alpine S  
Bulart (3314),Southern Grampians S  
Buldah (3890),East Gippsland S  
Bulga (3586),Swan Hill RC  
Bulgana (3377),Northern Grampians S  
Bulla (3428),Hume C  
Bullaharre (3266),Corangamite S  
Bullarook (3352),Hepburn S  
Bullarook (3352),Moorabool S  
Bullarto (3461),Hepburn S  
Bullarto South (3461),Hepburn S  
Bullarto South (3461),Moorabool S  
Bulleen (3105),Manningham C  
Bullengarook (3437),Macedon Ranges S  
Bullioh (3700),Towong S  
Bullumwaal (3875),East Gippsland S  
Buln Buln (3821),Baw Baw S  
Buln Buln East (3821),Baw Baw S  
Bumberrah (3902),East Gippsland S  
Bunbartha (3634),Greater Shepparton C  
Bundalaguah (3851),Wellington S  
Bundalong (3730),Moira S  
Bundalong South (3730),Moira S  
Bundara (3898),East Gippsland S  
Bunding (3342),Moorabool S  
Bundoora (3083),Banyule C  
Bundoora (3083),Darebin C  
Bundoora (3083),Whittlesea C  
Bung Bong (3465),Central Goldfields S  
Bung Bong (3465),Pyrenees S  
Bungador (3260),Colac Otway S  
Bungal (3334),Moorabool S  
Bungalally (3401),Horsham RC  
Bungaree (3352),Moorabool S  
Bungeet (3726),Benalla RC  
Bungeet West (3726),Benalla RC  
Bungil (3691),Towong S  
Bunguluke (3527),Buloke S  
Buninyong (3357),Ballarat C  
Buninyong (3357),Moorabool S  
Bunkers Hill (3352),Ballarat C  
Bunyip (3815),Cardinia S  
Bunyip North (3815),Cardinia S  
Buragwonduc (3858),Wellington S  
Burkes Bridge (3568),Gannawarra S  
Burkes Flat (3475),Loddon S  
Burnbank (3371),Pyrenees S  
Burnewang (3558),Campaspe S  
Burnley (3121),Yarra C  
Burnside (3023),Melton S  
Burnside Heights (3023),Melton S  
Burramine (3730),Moira S  
Burramine South (3730),Moira S  
Burrowyne (3709),Towong S  
Burrumbeet (3352),Ballarat C  
Burrumbeet (3352),Pyrenees S  
Burwood (3125),Boroondara C  
Burwood (3125),Monash C  
Burwood (3125),Whitehorse C  
Burwood East (3151),Whitehorse C  
Bushfield (3281),Moyne S  
Bushfield (3281),Warrnambool C  
Bushy Park (3860),Wellington S  
Butchers Ridge (3885),East Gippsland S  
Buxton (3711),Murrindindi S  
Byaduk (3301),Glenelg S  
Byaduk (3301),Moyne S  
Byaduk (3301),Southern Grampians S  
Byaduk North (3300),Sthn Grampians S  
Byawatha (3678),Wangaratta RC  
Bylands (3762),Macedon Ranges S  
Bylands (3762),Mitchell S  
Byrneside (3617),Greater Shepparton C  
Cabanandra (3888),East Gippsland S  
Cabarita (3505),Mildura RC  
Cabbage Tree (3364),Hepburn S  
Cabbage Tree Creek (3889),East Gippsland S  
Cairnlea (3023),Brimbank C  
Calder Park (3049),Brimbank C  
Caldermeade (3984),Cardinia S  
California Gully (3556),Greater Bendigo C  
Calivil (3573),Loddon S  
Callawadda (3381),Northern Grampians S  
Callignee (3844),Latrobe C  
Callignee North (3844),Wellington S  
Callignee South (3844),Wellington S  
Calrossie (3971),Wellington S  
Calulu (3875),East Gippsland S  
Cambarville (3779),Yarra Ranges S  
Camberwell (3124),Boroondara C  
Camberwell East (3126),Boroondara C  
Cambrian Hill (3352),Golden Plains S  
Campaspe West (3564),Campaspe S  
Campbellfield (3061),Hume C  
Campbells Bridge (3381),Nthn Grampians S  
Campbells Creek (3451),Mt Alexander S  
Campbells Forest (3556),Loddon S  
Campbelltown (3364),Central Goldfields S  
Campbelltown (3364),Hepburn S  
Campbelltown (3364),Mount Alexander S  
Camperdown (3260),Corangamite S  
Canadian (3350),Ballarat C  
Canary Island (3537),Loddon S  
Caniambo (3630),Greater Shepparton C  
Cann River (3890),East Gippsland S  
Cannie (3540),Gannawarra S  
Cannons Creek (3977),Casey C  
Cannum (3393),Yarriambiack S  
Canterbury (3126),Boroondara C  
Cape Bridgewater (3305),Glenelg S  
Cape Clear (3351),Golden Plains S  
Cape Conran (3888),East Gippsland S  
Cape Otway (3233),Colac Otway S  
Cape Paterson (3995),Bass Coast S  
Cape Schanck (3939),Mornington Pen S  
Cape Woolamai (3925),Bass Coast S  
Capels Crossing (3579),Gannawarra S  
Carag Carag (3623),Campaspe S  
Caralulup (3371),Central Goldfields S  
Caramut (3274),Moyne S  
Caramut (3274),Southern Grampians S  
Carapooee (3478),Northern Grampians S  
Carapooee West (3478),Nthn Grampians S  
Carapook (3312),Glenelg S  
Carapook (3312),Southern Grampians S  
Carboor (3678),Wangaratta RC  
Cardigan (3352),Ballarat C  
Cardigan Village (3352),Ballarat C  
Cardinia (3978),Cardinia S  
Cardross (3496),Mildura RC  
Cargerie (3334),Moorabool S  
Carina (3512),Mildura RC  
Caringal (3825),Baw Baw S  
Carisbrook (3464),Central Goldfields S  
Carisbrook (3464),Mount Alexander S  
Carlisle River (3239),Colac Otway S  
Carlisle River (3239),Corangamite S  
Carlsruhe (3442),Macedon Ranges S  
Carlton (3053),Melbourne C  
Carlton North (3054),Melbourne C  
Carlton North (3054),Yarra C  
Carlyle (3685),Indigo S  
Carnegie (3163),Glen Eira C  
Carngham (3351),Pyrenees S  
Caroline Springs (3023),Melton S  
Carpendeit (3260),Colac Otway S  
Carpendeit (3260),Corangamite S  
