City,Council
Kangaroo Flat (3555),Greater Bendigo C  
Kangaroo Ground (3097),Nillumbik S  
Kangaroo Lake (3581),Gannawarra S  
Kaniva (3419),Hindmarsh S  
Kaniva (3419),West Wimmera S  
Kanumbra (3719),Mansfield S  
Kanumbra (3719),Murrindindi S  
Kanya (3381),Northern Grampians S  
Kanyapella (3564),Campaspe S  
Karabeal (3294),Southern Grampians S  
Kardella (3951),South Gippsland S  
Kardella South (3950),South Gippsland S  
Kariah (3260),Corangamite S  
Karingal (3199),Frankston C  
Karnak (3401),West Wimmera S  
Karramomus (3631),Greater Shepparton C  
Karyrie (3483),Buloke S  
Katamatite (3649),Moira S  
Katamatite East (3649),Moira S  
Katandra (3634),Greater Shepparton C  
Katandra West (3634),Greater Shepparton C  
Katunga (3640),Moira S  
Kawarren (3249),Colac Otway S  
Kealba (3021),Brimbank C  
Keely (3568),Gannawarra S  
Keilor (3036),Brimbank C  
Keilor (3036),Hume C  
Keilor Downs (3038),Brimbank C  
Keilor East (3033),Brimbank C  
Keilor East (3033),Moonee Valley C  
Keilor Lodge (3038),Brimbank C  
Keilor North (3036),Brimbank C  
Keilor Park (3042),Brimbank C  
Kellalac (3393),Yarriambiack S  
Kelvin View (3666),Strathbogie S  
Kenley (3597),Swan Hill RC  
Kenmare (3395),Hindmarsh S  
Kennedys Creek (3239),Colac Otway S  
Kennedys Creek (3239),Corangamite S  
Kennett River (3221),Colac Otway S  
Kennington (3550),Greater Bendigo C  
Kensington (3031),Melbourne C  
Kensington (3031),Moonee Valley C  
Keon Park (3073),Darebin C  
Kerang (3579),Gannawarra S  
Kerang East (3579),Gannawarra S  
Kergunyah (3691),Indigo S  
Kergunyah South (3691),Alpine S  
Kernot (3979),Bass Coast S  
Kerrie (3434),Macedon Ranges S  
Kerrimuir (3129),Whitehorse C  
Kerrisdale (3660),Murrindindi S  
Kevington (3723),Mansfield S  
Kew (3101),Boroondara C  
Kew East (3102),Boroondara C  
Kewell (3390),Horsham RC  
Kewell (3390),Yarriambiack S  
Keysborough (3173),Greater Dandenong C  
Kialla (3631),Greater Shepparton C  
Kialla East (3631),Greater Shepparton C  
Kialla West (3631),Greater Shepparton C  
Kiata (3418),Hindmarsh S  
Kiewa (3691),Indigo S  
Kilcunda (3995),Bass Coast S  
Killara (3691),Glenelg S  
Killara (3691),Wodonga RC  
Killarney (3283),Moyne S  
Killawarra (3678),Wangaratta RC  
Killingworth (3717),Murrindindi S  
Kilmany (3851),Wellington S  
Kilmore (3764),Mitchell S  
Kilmore East (3764),Mitchell S  
Kilsyth (3137),Maroondah C  
Kilsyth (3137),Yarra Ranges S  
Kilsyth South (3137),Maroondah C  
Kimbolton (3551),Greater Bendigo C  
King Valley (3678),Wangaratta RC  
Kinglake (3763),Murrindindi S  
Kinglake (3763),Nillumbik S  
Kinglake Central (3757),Murrindindi S  
Kinglake Central (3757),Nillumbik S  
Kinglake West (3757),Murrindindi S  
Kinglake West (3757),Nillumbik S  
Kinglake West (3757),Whittlesea C  
Kingower (3517),Loddon S  
Kings Park (3021),Brimbank C  
Kingsbury (3083),Darebin C  
Kingston (3364),Hepburn S  
Kingsville (3012),Maribyrnong C  
Kingsville South (3015),Hobsons Bay C  
Kinnabulla (3483),Buloke S  
Kinypanial (3520),Loddon S  
Kirkstall (3283),Moyne S  
Kirwins Bridge (3608),Strathbogie S  
Kithbrook (3666),Strathbogie S  
Knebsworth (3286),Moyne S  
Knowsley (3523),Greater Bendigo C  
Knoxfield (3180),Knox C  
Koallah (3260),Corangamite S  
Kobyboyn (3660),Mitchell S  
Koetong (3704),Towong S  
Kolora (3265),Corangamite S  
Kolora (3265),Moyne S  
Kongwak (3951),Bass Coast S  
Kongwak (3951),South Gippsland S  
Konongwootong (3315),Sthn Grampians S  
Koo Wee Rup (3981),Cardinia S  
Koo Wee Rup North (3981),Cardinia S  
Kooloonong (3597),Swan Hill RC  
Koonda (3669),Strathbogie S  
Koondrook (3580),Gannawarra S  
Koonoomoo (3644),Moira S  
Koonwarra (3954),South Gippsland S  
Kooreh (3478),Northern Grampians S  
Koorlong (3501),Mildura RC  
Koornalla (3844),Latrobe C  
Kooroocheang (3364),Hepburn S  
Koorool (3860),Wellington S  
Koorooman (3953),South Gippsland S  
Kooyong (3144),Stonnington C  
Koriella (3714),Murrindindi S  
Korobeit (3341),Moorabool S  
Koroit (3282),Moyne S  
Korong Vale (3520),Loddon S  
Koroop (3579),Gannawarra S  
Korumburra (3950),South Gippsland S  
Korumburra South (3950),Sth Gippsland S  
Korweinguboora (3461),Hepburn S  
Korweinguboora (3461),Moorabool S  
Kotta (3565),Campaspe S  
Kotupna (3638),Moira S  
Kow Swamp (3567),Campaspe S  
Koyuga (3622),Campaspe S  
Krowera (3945),Bass Coast S  
Krowera (3945),South Gippsland S  
Kulwin (3490),Mildura RC  
Kunat (3585),Swan Hill RC  
Kunyung (3930),Mornington Peninsula S  
Kurraca (3518),Loddon S  
Kurraca West (3518),Loddon S  
Kurting (3517),Loddon S  
Kurunjang (3337),Melton S  
Ky Valley (3621),Campaspe S  
Ky West (3621),Campaspe S  
Kyabram (3620),Campaspe S  
Kyabram (3619),Greater Shepparton C  
Kyabram South (3620),Greater Shepparton C  
Kyneton (3444),Macedon Ranges S  
Kyneton South (3444),Macedon Ranges S  
Laanecoorie (3463),Loddon S  
Laang (3265),Moyne S  
Labertouche (3816),Baw Baw S  
Laburnum (3130),Whitehorse C  
Laceby (3678),Wangaratta RC  
Ladys Pass (3523),Greater Bendigo C  
Laen (3480),Buloke S  
Laen (3480),Northern Grampians S  
Laen (3480),Yarriambiack S  
Laen East (3480),Buloke S  
Laen North (3480),Buloke S  
Lah (3393),Yarriambiack S  
Laharum (3401),Horsham RC  
Laharum (3401),Northern Grampians S  
Lake Boga (3584),Swan Hill RC  
Lake Bolac (3351),Ararat RC  
Lake Buloke (3480),Buloke S  
Lake Bunga (3909),East Gippsland S  
Lake Charm (3581),Gannawarra S  
Lake Condah (3303),Glenelg S  
Lake Condah (3303),Moyne S  
Lake Cooper (3559),Campaspe S  
Lake Eildon (3713),Mansfield S  
Lake Fyans (3381),Northern Grampians S  
Lake Gardens (3355),Ballarat C  
Lake Goldsmith (3373),Pyrenees S  
Lake Hindmarsh (3423),Hindmarsh S  
Lake Lonsdale (3381),Nthn Grampians S  
Lake Marmal (3525),Loddon S  
Lake Marmel (3525),Buloke S  
Lake Meran (3579),Gannawarra S  
Lake Meran (3579),Loddon S  
Lake Mokoan (3673),Benalla RC  
Lake Mundi (3312),Glenelg S  
Lake Powell (3597),Swan Hill RC  
Lake Rowan (3727),Moira S  
Lake Tyers (3887),East Gippsland S  
Lake Tyers Beach (3909),East Gippsland S  
Lake Tyrrell (3533),Buloke S  
Lake Wellington (3851),Wellington S  
Lake Wendouree (3350),Ballarat C  
Lake Wongan (3373),Pyrenees S  
Lakes Entrance (3909),East Gippsland S  
Lal Lal (3352),Moorabool S  
Lalbert (3542),Gannawarra S  
Lalor (3075),Whittlesea C  
Lamplough (3352),Pyrenees S  
Lancaster (3620),Campaspe S  
Lancaster (3620),Greater Shepparton C  
Lance Creek (3995),Bass Coast S  
Lancefield (3435),Macedon Ranges S  
Landsborough (3384),Pyrenees S  
Landsborough (3384),Wellington S  
Landsborough West (3384),Northern Grampians S  
,
Landsborough West (3384),Pyrenees S  
Lang Lang (3984),Bass Coast S  
Lang Lang (3984),Cardinia S  
Lang Lang (3984),South Gippsland S  
Lang Lang East (3984),Cardinia S  
Langdons Hill (3363),Hepburn S  
Langi Kal Kal (3352),Pyrenees S  
Langi Logan (3377),Ararat RC  
Langkoop (3318),West Wimmera S  
Langley (3444),Mount Alexander S  
Langwarrin (3910),Frankston C  
Langwarrin South (3911),Frankston C  
Lara (3212),Greater Geelong C  
Lardner (3821),Baw Baw S  
Larpent (3249),Colac Otway S  
Larralea (3325),Corangamite S  
Lascelles (3487),Yarriambiack S  
Launching Place (3139),Yarra Ranges S  
Lauriston (3444),Macedon Ranges S  
Lavers Hill (3238),Colac Otway S  
Laverton (3028),Hobsons Bay C  
Laverton (3028),Wyndham C  
Laverton North (3026),Wyndham C  
Laverton RAAF (3027),Wyndham C  
Lawler (3480),Buloke S  
Lawler (3480),Yarriambiack S  
Lawloit (3418),West Wimmera S  
Lawrence (3364),Hepburn S  
Leaghur (3537),Loddon S  
Learmonth (3352),Ballarat C  
Ledcourt (3385),Northern Grampians S  
Leichardt (3516),Greater Bendigo C  
Leichardt (3516),Loddon S  
Leigh Creek (3352),Moorabool S  
Leitchville (3567),Gannawarra S  
Leitchville (3567),Loddon S  
Lemnos (3631),Greater Shepparton C  
Leneva (3691),Wodonga RC  
Leonards Hill (3461),Hepburn S  
Leongatha (3953),South Gippsland S  
Leongatha North (3953),South Gippsland S  
Leongatha South (3953),South Gippsland S  
Leopold (3224),Greater Geelong C  
Lerderderg (3458),Moorabool S  
Leslie Manor (3260),Corangamite S  
Lethbridge (3332),Golden Plains S  
Lexton (3352),Pyrenees S  
Licola (3858),Wellington S  
Licola North (3858),Mansfield S  
Licola North (3858),Wellington S  
Lillico (3820),Baw Baw S  
Lillicur (3371),Central Goldfields S  
Lillicur (3371),Pyrenees S  
Lillimur (3420),West Wimmera S  
Lilliput (3682),Indigo S  
Lilydale (3140),Yarra Ranges S  
Lima (3673),Benalla RC  
Lima East (3673),Benalla RC  
Lima South (3673),Benalla RC  
Lima South (3673),Mansfield S  
Limestone (3717),Murrindindi S  
Limonite (3871),South Gippsland S  
Lindenow (3865),East Gippsland S  
Lindenow South (3875),East Gippsland S  
Lindsay (3312),Glenelg S  
Lindsay Point (5341),Mildura RC  
Linga (3509),Mildura RC  
Linton (3360),Golden Plains S  
Liparoo (3549),Swan Hill RC  
Lismore (3324),Corangamite S  
Litchfield (3480),Buloke S  
Little Desert (3418),Hindmarsh S  
Little Hampton (3458),Hepburn S  
Little River (3211),Greater Geelong C  
Little River (3211),Wyndham C  
Llanelly (3551),Loddon S  
Llowalong (3862),Wellington S  
Loch (3945),Bass Coast S  
Loch (3945),South Gippsland S  
Loch Sport (3851),Wellington S  
Loch Valley (3833),Baw Baw S  
Lochend (3888),East Gippsland S  
Lockington (3563),Campaspe S  
Locksley (3665),Strathbogie S  
Lockwood (3551),Greater Bendigo C  
Lockwood South (3551),Greater Bendigo C  
Lockwood South (3551),Mount Alexander S  
Loddon Vale (3575),Loddon S  
Logan (3475),Loddon S  
Logan (3475),Northern Grampians S  
Londrigan (3678),Wangaratta RC  
Long Forest (3340),Moorabool S  
Long Gully (3550),Greater Bendigo C  
Longerenong (3401),Horsham RC  
Longerenong (3401),Yarriambiack S  
Longford (3851),Wellington S  
Longlea (3551),Greater Bendigo C  
Longwarry (3816),Baw Baw S  
Longwarry (3816),Cardinia S  
Longwarry North (3816),Baw Baw S  
Longwood (3665),Strathbogie S  
Longwood East (3666),Strathbogie S  
Lorne (3232),Surf Coast S  
Lorquon (3418),Hindmarsh S  
Lovely Banks (3221),Greater Geelong C  
Lower Moira (3639),Moira S  
Lower Norton (3401),Horsham RC  
Lower Plenty (3093),Banyule C  
Loy Yang (3844),Latrobe C  
Lubeck (3381),Northern Grampians S  
Lubeck (3381),Yarriambiack S  
Lucknow (3875),East Gippsland S  
Lucyvale (3691),Towong S  
Lurg (3673),Benalla RC  
Lurg Upper (3673),Benalla RC  
Lurg Upper (3673),Wangaratta RC  
Lyal (3444),Greater Bendigo C  
Lynbrook (3975),Casey C  
Lyndhurst (3975),Casey C  
Lyndhurst (3975),Greater Dandenong C  
Lyons (3304),Glenelg S  
Lyonville (3461),Hepburn S  
Lysterfield (3156),Knox C  
Lysterfield (3156),Yarra Ranges S  
Lysterfield South (3156),Casey C  
,
,
,
Macarthur (3286),Moyne S  
Macclesfield (3782),Yarra Ranges S  
Macedon (3440),Macedon Ranges S  
Macks Creek (3971),Wellington S  
Macleod (3085),Banyule C  
Macleod (3085),Darebin C  
Macorna (3579),Gannawarra S  
Macorna (3579),Loddon S  
Macorna North (3568),Gannawarra S  
Macs Cove (3723),Mansfield S  
Madalya (3971),Wellington S  
Maddingley (3340),Moorabool S  
Mafeking (3379),Ararat RC  
Maffra (3860),Wellington S  
Maffra West Upper (3859),Wellington S  
Magpie (3352),Ballarat C  
Maiden Gully (3551),Greater Bendigo C  
Maidstone (3012),Maribyrnong C  
Mailor Flat (3275),Moyne S  
Main Lead (3373),Pyrenees S  
Main Ridge (3928),Mornington Peninsula S  
Maindample (3723),Mansfield S  
Maintongoon (3714),Murrindindi S  
Major Plains (3725),Benalla RC  
Major Plains (3725),Greater Shepparton C  
Majorca (3465),Central Goldfields S  
Maldon (3463),Mount Alexander S  
Mallacoota (3892),East Gippsland S  
Malmsbury (3446),Hepburn S  
Malmsbury (3446),Macedon Ranges S  
Malmsbury (3446),Mount Alexander S  
Malvern (3144),Stonnington C  
Malvern East (3145),Stonnington C  
Mambourin (3024),Wyndham C  
Manangatang (3546),Swan Hill RC  
Mandurang (3551),Greater Bendigo C  
Mandurang South (3551),Greater Bendigo C  
Mangalore (3663),Mitchell S  
Mangalore (3663),Strathbogie S  
Manifold Heights (3218),Greater Geelong C  
Mannerim (3222),Greater Geelong C  
Mannibadar (3360),Golden Plains S  
Manns Beach (3971),Wellington S  
Manorina (3889),East Gippsland S  
Mansfield (3722),Mansfield S  
Maramingo Creek (3891),East Gippsland S  
Marcus Hill (3222),Greater Geelong C  
Mardan (3953),South Gippsland S  
Marengo (3233),Colac Otway S  
Maribyrnong (3032),Maribyrnong C  
Marionvale (3634),Greater Shepparton C  
Markwood (3678),Wangaratta RC  
Marlbed (3483),Buloke S  
Marlo (3888),East Gippsland S  
Marnoo (3387),Northern Grampians S  
Marnoo East (3387),Northern Grampians S  
Marnoo West (3387),Northern Grampians S  
Marong (3515),Greater Bendigo C  
Marong (3515),Loddon S  
Maroona (3377),Ararat RC  
Marraweeny (3669),Strathbogie S  
Marshall (3216),Greater Geelong C  
Marthavale (3875),East Gippsland S  
Marungi (3634),Greater Shepparton C  
Marungi (3634),Moira S  
Maryborough (3465),Central Goldfields S  
Maryknoll (3812),Cardinia S  
Marysville (3779),Murrindindi S  
Maryvale (3840),Latrobe C  
Massey (3482),Buloke S  
Matlock (3723),Mansfield S  
Matlock (3723),Yarra Ranges S  
Maude (3331),Golden Plains S  
McCrae (3938),Mornington Peninsula S  
McEvoys (3564),Campaspe S  
McIntyre (3472),Loddon S  
McKenzie Creek (3401),Horsham RC  
McKenzies Hill (3451),Mount Alexander S  
McKinnon (3204),Glen Eira C  
McLoughlins Beach (3874),Wellington S  
McMahons Creek (3799),Yarra Ranges S  
McMillans (3568),Gannawarra S  
Mead (3568),Gannawarra S  
Meadow Creek (3678),Wangaratta RC  
Meadow Heights (3048),Hume C  
Meatian (3585),Gannawarra S  
Meatian (3585),Swan Hill RC  
Meeniyan (3956),South Gippsland S  
Meering West (3579),Gannawarra S  
Meering West (3579),Loddon S  
Meerlieu (3862),Wellington S  
Melbourne (3000),Melbourne C  
Melbourne (3001),Melbourne C  
Melbourne (3004),Port Phillip C  
Melbourne Airport (3045),Hume C  
Melbourne West (3003),Melbourne C  
Melton (3337),Melton S  
Melton South (3338),Melton S  
Melton West (3337),Melton S  
Melville Forest (3315),Sthn Grampians S  
Melwood (3875),East Gippsland S  
Mena Park (3373),Pyrenees S  
Mentone (3194),Kingston C  
Menzies Creek (3159),Cardinia S  
Menzies Creek (3159),Yarra Ranges S  
Mepunga (3277),Moyne S  
Mepunga East (3277),Moyne S  
Mepunga West (3277),Moyne S  
Merbein (3505),Mildura RC  
Merbein South (3505),Mildura RC  
Merbein West (3505),Mildura RC  
Meredith (3333),Golden Plains S  
Meredith (3333),Moorabool S  
Meringur (3496),Mildura RC  
Merino (3310),Glenelg S  
Merlynston (3058),Moreland C  
Mernda (3754),Whittlesea C  
Merriang (3737),Alpine S  
Merricks (3916),Mornington Peninsula S  
Merricks Beach (3926),Mornington Pen S  
Merricks North (3926),Mornington Pen S  
Merrigum (3618),Greater Shepparton C  
Merrijig (3875),East Gippsland S  
Merrijig (3723),Mansfield S  
Merrimu (3340),Moorabool S  
Merrinee (3496),Mildura RC  
Merton (3715),Mansfield S  
Merton (3715),Murrindindi S  
Metcalfe (3448),Mount Alexander S  
Metcalfe East (3444),Mount Alexander S  
Metung (3904),East Gippsland S  
Mewburn Park (3859),Wellington S  
Mia Mia (3444),Greater Bendigo C  
Mia Mia (3444),Mitchell S  
Mickleham (3064),Hume C  
Mid Valley (3840),Latrobe C  
Middle Creek (3375),Ararat RC  
Middle Creek (3375),Pyrenees S  
Middle Park (3206),Port Phillip C  
Middle Tarwin (3958),South Gippsland S  
Miepoll (3666),Strathbogie S  
Miga Lake (3409),West Wimmera S  
Milawa (3678),Wangaratta RC  
Mildura (3500),Mildura RC  
Mill Park (3082),Whittlesea C  
Millbrook (3352),Moorabool S  
Millgrove (3799),Yarra Ranges S  
Milloo (3572),Campaspe S  
Milloo (3572),Loddon S  
Milltown (3304),Glenelg S  
Milnes Bridge (3579),Gannawarra S  
Mincha (3575),Loddon S  
Mincha West (3568),Gannawarra S  
Miners Rest (3352),Ballarat C  
Mingay (3324),Corangamite S  
Minhamite (3287),Moyne S  
Minimay (3413),West Wimmera S  
Mininera (3351),Ararat RC  
Minjah (3276),Moyne S  
Minmindie (3537),Loddon S  
Minto (3551),Greater Bendigo C  
Minyip (3392),Yarriambiack S  
Miowera (3862),Wellington S  
Miralie (3596),Swan Hill RC  
Miram (3415),West Wimmera S  
Mirboo (3871),Latrobe C  
Mirboo (3871),South Gippsland S  
Mirboo East (3870),South Gippsland S  
Mirboo North (3871),South Gippsland S  
Mirboo South (3956),Baw Baw S  
Mirimbah (3722),Mansfield S  
Mirranatwa (3294),Southern Grampians S  
Mitcham (3132),Whitehorse C  
Mitchell Park (3352),Ballarat C  
Mitchells Hill (3478),Northern Grampians S  
Mitchellstown (3608),Strathbogie S  
Mitiamo (3573),Campaspe S  
Mitiamo (3573),Loddon S  
Mitre (3409),Horsham RC  
Mitre (3409),West Wimmera S  
Mitta Mitta (3701),East Gippsland S  
Mitta Mitta (3701),Towong S  
Mittyack (3533),Mildura RC  
Mockinya (3401),Horsham RC  
Modella (3816),Baw Baw S  
Modella (3816),Cardinia S  
Modewarre (3240),Surf Coast S  
Moe (3825),Baw Baw S  
Moe (3825),Latrobe C  
Moe South (3825),Baw Baw S  
Moe South (3825),Latrobe C  
Moggs Creek (3231),Surf Coast S  
Moglonemby (3666),Strathbogie S  
Mokepilly (3380),Northern Grampians S  
Molesworth (3718),Murrindindi S  
Moliagul (3472),Central Goldfields S  
Moliagul (3472),Loddon S  
Molka (3666),Strathbogie S  
Mollongghip (3352),Hepburn S  
Mollongghip (3352),Moorabool S  
Mologa (3575),Loddon S  
Molyullah (3673),Benalla RC  
Monbulk (3793),Yarra Ranges S  
Monegeetta (3433),Macedon Ranges S  
Mongans Bridge (3691),Alpine S  
Monomak (3860),Wellington S  
Monomeith (3984),Cardinia S  
Mont Albert (3127),Boroondara C  
Mont Albert (3127),Whitehorse C  
Mont Albert North (3129),Whitehorse C  
Montgomery (3851),Wellington S  
Montmorency (3094),Banyule C  
Montrose (3765),Yarra Ranges S  
Moolap (3221),Greater Geelong C  
Moolerr (3478),Northern Grampians S  
Moolort (3465),Central Goldfields S  
Moolort (3465),Mount Alexander S  
Moonambel (3478),Pyrenees S  
Moondarra (3825),Baw Baw S  
Moondarra (3825),Latrobe C  
Moonee Ponds (3039),Moonee Valley C  
Moonlight Flat (3465),Central Goldfields S  
Moonlight Flat (3450),Mount Alexander S  
Moora (3612),Campaspe S  
Moorabbin (3189),Bayside C  
Moorabbin (3189),Kingston C  
Moorabbin Airport (3194),Kingston C  
Moorabool (3221),Greater Geelong C  
Mooralla (3314),Southern Grampians S  
Moorilim (3610),Greater Shepparton C  
Moorilim (3610),Strathbogie S  
Moormbool West (3523),Strathbogie S  
Moornapa (3862),Wellington S  
Moorngag (3673),Benalla RC  
Moorooduc (3933),Mornington Peninsula S  
Mooroolbark (3138),Yarra Ranges S  
Mooroopna (3629),Greater Shepparton C  
Mooroopna North (3629),Greater Shepparton C  
Mooroopna North West (3616),
, 
Moranding (3764),Mitchell S  
Morang South (3752),Whittlesea C  
Mordialloc (3195),Kingston C  
Moreland (3058),Moreland C  
Morgiana (3301),Southern Grampians S  
Moriac (3240),Surf Coast S  
Mornington (3931),Mornington Peninsula S  
Moroka (3860),Wellington S  
Morrisons (3334),Golden Plains S  
Morrisons (3334),Moorabool S  
Morrl Morrl (3381),Northern Grampians S  
Mortlake (3272),Moyne S  
Morton Plains (3482),Buloke S  
Morwell (3840),Latrobe C  
Mosquito Creek (3551),Greater Bendigo C  
Mossiface (3885),East Gippsland S  
Mount Alfred (3709),Towong S  
Mount Beauty (3699),Alpine S  
Mount Beckworth (3363),Hepburn S  
Mount Best (3960),South Gippsland S  
Mount Bolton (3352),Ballarat C  
Mount Bruno (3675),Benalla RC  
Mount Buffalo (3740),Alpine S  
Mount Buller (3723),Mansfield S  
Mount Buller (3723),Wellington S  
Mount Burnett (3781),Cardinia S  
Mount Bute (3324),Corangamite S  
Mount Bute (3324),Golden Plains S  
Mount Camel (3523),Greater Bendigo C  
Mount Cameron (3370),Central Goldfields S  
Mount Cameron (3370),Hepburn S  
Mount Clear (3350),Ballarat C  
Mount Cole (3377),Ararat RC  
Mount Cole Creek (3377),Ararat RC  
Mount Cottrell (3024),Melton S  
Mount Cottrell (3024),Wyndham C  
Mount Dandenong (3767),Yarra Ranges S  
Mount Doran (3334),Moorabool S  
Mount Dryden (-),Northern Grampians S  
Mount Duneed (3216),Greater Geelong C  
Mount Duneed (3216),Surf Coast S  
Mount Eccles (3953),South Gippsland S  
Mount Eccles South (3953),Sth Gippsland S  
Mount Eckersley (3304),Glenelg S  
Mount Egerton (3352),Moorabool S  
Mount Eliza (3930),Mornington Peninsula S  
Mount Emu (3351),Pyrenees S  
Mount Evelyn (3796),Yarra Ranges S  
Mount Franklin (3461),Hepburn S  
Mount Glasgow (3371),Central Goldfields S  
Mount Helen (3350),Ballarat C  
Mount Hooghly (3472),Central Goldfields S  
Mount Hotham (3741),Alpine S  
Mount Lonarch (3468),Pyrenees S  
Mount Macedon (3441),Macedon Ranges S  
Mount Major (3646),Greater Shepparton C  
Mount Martha (3934),Mornington Pen S  
Mount Mercer (3352),Golden Plains S  
Mount Moriac (3240),Surf Coast S  
Mount Napier (3301),Sthn Grampians S  
Mount Pleasant (3350),Ballarat C  
Mount Prospect (3364),Hepburn S  
Mount Richmond (3305),Glenelg S  
Mount Rowan (3352),Ballarat C  
Mount Sabine (3236),Colac Otway S  
Mount Scobie (3620),Campaspe S  
Mount Talbot (3401),Horsham RC  
Mount Tassie (3844),Latrobe C  
Mount Taylor (3875),East Gippsland S  
Mount Toolebewong (3777),Yarra Ranges S  
Mount Wallace (3342),Moorabool S  
Mount Waverley (3149),Monash C  
Mountain Bay (3723),Mansfield S  
Mountain View (3988),Baw Baw S  
Mountain View (3988),South Gippsland S  
Moutajup (3294),Southern Grampians S  
Moyarra (3951),South Gippsland S  
Moyhu (3732),Wangaratta RC  
Moyreisk (3467),Northern Grampians S  
Moyston (3377),Ararat RC  
Muckatah (3644),Moira S  
Muckleford (3451),Mount Alexander S  
Muckleford South (3462),Mt Alexander S  
Mudgeegonga (3737),Alpine S  
Mudgegonga (3737),Indigo S  
Mulgrave (3170),Monash C  
Mumbannar (3304),Glenelg S  
Mundoona (3635),Moira S  
Munro (3862),Wellington S  
Muntham (3315),Glenelg S  
Muntham (3315),Southern Grampians S  
Murchison (3610),Campaspe S  
Murchison (3610),Greater Shepparton C  
Murchison East (3610),Greater Shepparton C  
Murchison North (3610),Greater Shepparton C  
Murgheboluc (3221),Golden Plains S  
Murmungee (3747),Wangaratta RC  
Murnungin (3544),Swan Hill RC  
Murphys Creek (3551),Loddon S  
Murra Warra (3401),Horsham RC  
Murra Warra (3401),Yarriambiack S  
Murrabit (3579),Gannawarra S  
Murrabit West (3579),Gannawarra S  
Murrawee (3586),Swan Hill RC  
Murraydale (3586),Swan Hill RC  
Murray-Sunset (-),Mildura RC  
Murrayville (3512),Mildura RC  
Murrindal (3885),East Gippsland S  
Murrindindi (3717),Murrindindi S  
Murroon (3243),Colac Otway S  
Murrumbeena (3163),Glen Eira C  
Murtoa (3390),Yarriambiack S  
Musk (3461),Hepburn S  
Musk Vale (3461),Hepburn S  
Muskerry (3557),Campaspe S  
Myall (3579),Buloke S  
Myall (3579),Gannawarra S  
Myamyn (3304),Glenelg S  
Myers Flat (3556),Greater Bendigo C  
Myola (3551),Campaspe S  
Myrniong (3341),Moorabool S  
Myrrhee (3732),Benalla RC  
Myrrhee (3732),Wangaratta RC  
Myrtle Creek (3444),Greater Bendigo C  
Myrtle Creek (3444),Mount Alexander S  
Myrtlebank (3851),Wellington S  
Myrtleford (3737),Alpine S  
Mysia (3518),Loddon S  
Mystic Park (3579),Gannawarra S  
Mywee (3641),Moira S  
,
,
,
Nagambie (3608),Strathbogie S  
Nalangil (3249),Colac Otway S  
Nalinga (3646),Greater Shepparton C  
Nalinga (3646),Strathbogie S  
Nambrok (3847),Wellington S  
Nandaly (3533),Buloke S  
Nangana (3781),Cardinia S  
Nangeela (3312),Glenelg S  
Nangiloc (3494),Mildura RC  
Nanneella (3561),Campaspe S  
Nap Nap Marra (3860),Wellington S  
Napoleons (3352),Golden Plains S  
Nar Nar Goon (3812),Cardinia S  
Nar Nar Goon North (3812),Cardinia S  
Narbethong (3778),Murrindindi S  
Nareeb (3293),Moyne S  
Nareeb (3293),Southern Grampians S  
Nareen (3315),Glenelg S  
Nareen (3315),Southern Grampians S  
Nareewillock (3525),Buloke S  
Nariel Valley (3707),East Gippsland S  
Nariel Valley (3707),Towong S  
Naring (3636),Moira S  
Naringal (3277),Moyne S  
Naringal East (3277),Moyne S  
Naroghid (3266),Corangamite S  
Narracan (3824),Baw Baw S  
Narracan (3824),Latrobe C  
Narraport (3483),Buloke S  
Narrapumelap South (3293),Ararat RC  
Narrawong (3285),Glenelg S  
Narre Warren (3805),Casey C  
Narre Warren East (3804),Yarra Ranges S  
Narre Warren North (3804),Casey C  
Narre Warren South (3805),Casey C  
Narrung (3597),Swan Hill RC  
Nathalia (3638),Moira S  
Natimuk (3409),Horsham RC  
Natte Yallock (3465),Central Goldfields S  
Natte Yallock (3465),Northern Grampians S  
Natte Yallock (3465),Pyrenees S  
Natya (3597),Swan Hill RC  
Navarre (3384),Northern Grampians S  
Navarre (3384),Pyrenees S  
Navigators (3352),Moorabool S  
Nayook (3832),Baw Baw S  
Neds Corner (3496),Mildura RC  
Neereman (3463),Mount Alexander S  
Neerim (3831),Baw Baw S  
Neerim East (3831),Baw Baw S  
Neerim Junction (3832),Baw Baw S  
Neerim North (3832),Baw Baw S  
Neerim South (3831),Baw Baw S  
Neilborough (3570),Greater Bendigo C  
Nelson (3292),Glenelg S  
Nerrena (3953),South Gippsland S  
Nerrin Nerrin (3351),Ararat RC  
Nerrin Nerrin (3351),Moyne S  
Nerrina (3350),Ballarat C  
Nerring (3373),Pyrenees S  
Netherby (3418),Hindmarsh S  
Neuarpurr (3413),West Wimmera S  
New Gisborne (3438),Macedon Ranges S  
Newborough (3825),Latrobe C  
Newbridge (3551),Loddon S  
Newbury (3458),Hepburn S  
Newcomb (3219),Greater Geelong C  
Newfield (3268),Corangamite S  
Newham (3442),Macedon Ranges S  
Newhaven (3925),Bass Coast S  
Newington (3350),Ballarat C  
Newlands Arm (3875),East Gippsland S  
Newlyn (3364),Hepburn S  
Newlyn North (3364),Hepburn S  
Newmerella (3886),East Gippsland S  
Newport (3015),Hobsons Bay C  
Newry (3859),Wellington S  
