Hotel_name,Hotel_city,Hotel_price
"Penthouse 2-bed 1 bath, wifi,  Netflix, 1 car spaces",Melbourne,A$224 / night
"Character, comfort and convenience in Caulfield Nth",Melbourne,A$142 / night
Summer in Melbourne - Tennis - Beach - Cricket - Grand Prix - Concerts - G2,Melbourne,A$151 / night
Maddox · MADDOX: 5min Walk to Train with Netflix & Parking,Melbourne,A$235 / night
Stunning Bright 1BRAPT@Hawthron/Glenferrie Station,Melbourne,A$168 / night
Funky Laneway Studio in the Heart of Melbourne! Cozy apartment in an great Location!,Melbourne,A$142 / night
SOUTH MELBOURNE - Unit 104,Melbourne,A$138 / night
"Clayton One Bedroom Stylish Apartment, FREE PARKING, WIFI & FOXTEL",Melbourne,A$183 / night
Cute cosy Gypsy Caravan with outdoor bath and firepit,Warburton,A$60 / night
3 Bedroom home in Heidelberg Heights,Melbourne,A$186 / night
Sick Of Hotel Rooms? Enjoy a Quiet Stay on a Luxury yacht,Melbourne,A$481 / night
Berrys Creek Tiny House,Shire of South Gippsland,A$195 / night
The Chook House Summa,Shire of Moira,A$206 / night
Stylish Melbourne CBD Lighthouse Apartment,Melbourne,A$159 / night
Short Stay 1 Bedroom Freshwater Place Luxury Apt,Melbourne,A$144 / night
Modern St Kilda East 1 Bedroom Apartment - Free parking,Melbourne,A$206 / night
Warm Nest Central Location@Collins,Melbourne,A$188 / night
Spacious Light Filled Apartment with City Views,Melbourne,A$162 / night
BOUTIQUE STAYS - Axel Apartments,Melbourne,A$248 / night
Designer 2 bdrms APT@Parkville「Free carpark+wifi」,Melbourne,A$191 / night
Top of Toorak –  Level 2,Melbourne,A$429 / night
Tram Stop 5 - 2 bedroom on Collin Street,Melbourne,A$186 / night
Ocean Views ☆ Top Location ☆ Parking ☆ Restaurants,Melbourne,A$461 / night
Room in luxury house/Preston Central/near Preston market/25mins to CBD,Melbourne,"A$1,061 / night"
A Spacious & Modern Home Next to Southern Cross,Melbourne,A$427 / night
"Brand New Apartment With Balcony, Gym and Sauna",Melbourne,A$163 / night
MacRobertson Warehouse,Melbourne,A$497 / night
BOUTIQUE STAYS – Vox Terrace,Melbourne,A$348 / night
Clean Modern Apartment 15 Mins From City on Tram,Melbourne,A$191 / night
Escape to the country - in the Dandenong Ranges.,Sassafras,A$300 / night
"Walk to cafe, wifi, fenced court yard, off street parking, linen supplied",Melbourne,A$330 / night
10A Brunswick Living Brand New Studio Unit- ground floor close to Airport & CBD,Melbourne,A$72 / night
Domi Rentals - The Fitzroy - Walk to the beach!,Melbourne,A$174 / night
South Yarra 1 BDR Apt near ChapelSt shops and Cafe,Melbourne,A$230 / night
In the heart of Melbourne City,Melbourne,A$193 / night
Modern 1 Bedroom Apartment South Yarra,Melbourne,A$237 / night
Absolute Collins 516: The Heart Of The CIty,Melbourne,A$215 / night
Beautifully renovated East Hawthorn apartment,Melbourne,A$166 / night
Modern Unit With Balconies Near Melbourne Airport,Melbourne,A$215 / night
A Modern & Central Apt with Beautiful City Views,Melbourne,A$161 / night
Private Italian Compound,Melbourne,A$130 / night
U101 Brand new balcony apartment close to Airport & CBD,Melbourne,A$117 / night
"""Rhapsody"" - Pearl Apartments",Melbourne,A$168 / night
Oliver Lane - Boutique Accommodation - CBD,Melbourne,A$169 / night
Elan Cottage with large corner spa,Melbourne,A$146 / night
Art Deco Inspired 2 bedroom House with off street Parking,Melbourne,A$216 / night
Mid Collingwood Charm,Melbourne,A$219 / night
EP5 - NEW SPACIOUS 1BR (TOP FLOOR) - WIFI+NETFLIX,Melbourne,A$171 / night
Lochiel Original Cottage (10 Persons Max),Melbourne,A$390 / night
Apartment,Melbourne,A$175 / night
Apartment 60m²,Melbourne,A$220 / night
2 Bedroom  Apartment in West Melbourne 10 min walk to CBD,Melbourne,A$224 / night
Stylish Luxury Apartment with Fabulous Views,Melbourne,A$178 / night
Dylene Caravan Park - Family Cabin - No AirCon BYO Linen,Portarlington,A$215 / night
Whitehorse Apartments Hotel,Melbourne,A$170 / night
StayCentral Merigold on Collins,Melbourne,A$183 / night
Designer 2BR with Carpark Monash Uni@Caulfield,Melbourne,A$215 / night
403/64 Macaulay St  · TRANQUIL & MODERN 2 BED INNER NORTH APARTMENT,Melbourne,A$295 / night
THE WHITE ROOM Fitzroy,Melbourne,A$243 / night
TOP OF TOORAK – Views from the Ground,Melbourne,A$429 / night
"CBD, Collins St 2 bed, near Southern Cross with Gym, Pool & Spa",Melbourne,A$176 / night
Stunning Studio Apt in Seddon,Melbourne,A$135 / night
2 Bed 2 bath @ Eureka Tower,Melbourne,A$260 / night
Arrow on Swanston apartment with a little English flare,Melbourne,A$87 / night
2 BR Modern Melbourne CBD Apartment,Melbourne,A$163 / night
Stunning 2 bdrms  APT@Parkville「Free carpark+wifi」,Melbourne,A$189 / night
Elegant 2BDR apartment near by Westfield,Melbourne,A$299 / night
Modern Apartment With Balcony Near Kings Domain,Melbourne,A$128 / night
The Flamingo Cottage,Shire of Cardinia,A$177 / night
Owen · 'Owen' Soaring City Views | Central Location,Melbourne,A$436 / night
Pure Beachfront Bliss,Melbourne,A$195 / night
Quiet Lake House In Winery,Shire of Murrindindi,A$206 / night
Absolute Melbourne Central,Melbourne,A$164 / night
Spacious CBD Apartment in the Heart of Melbourne,Melbourne,A$222 / night
"GIRLS ONLY. Large bedroom with KING bed, close to everything",Melbourne,A$70 / night
Bright Modern Apartment w Parking and Gym Near CBD,Melbourne,A$216 / night
Musical Village Retreat : Paris Love Nest For Two,Shire of Baw Baw,A$122 / night
Lynwood Rural Retreat with beautiful gardens & farm animals,Melbourne,A$294 / night
"Spacious homely city apartment, near river walks",Melbourne,A$162 / night
Comfy one-bedroom unit between city and airport,Melbourne,A$131 / night
Richmond Warehouse Wonder,Melbourne,A$200 / night
Brand new 2-bedroom apartment with panoramic view of Melbourne for Share,Melbourne,A$126 / night
BUNJIL RETREAT - in the hills overlooking the sea,Skenes Creek,A$718 / night
Yarra River Views & City Lights - Free Wifi & Netflix,Melbourne,A$164 / night
Cosy 1 Bed City Apt Near SouthernCross FREE WIFI,Melbourne,A$169 / night
luxury & comfort and safety: close to all with secure car park Bundoora,Melbourne,A$156 / night
8/12 Vine Street - 2 Bedroom Apartment,Melbourne,A$136 / night
Chum Creek  Loft Hut - With Japanese Soaking Tub,Shire of Yarra Ranges,A$416 / night
Dower House Bacchus Marsh,Shire of Moorabool,A$607 / night
The lively City 2bed 2 bath APT @Footscray,Melbourne,A$258 / night
City Heights and Views,Melbourne,A$299 / night
1BR City Apt close to Hardware Ln (FREE PARKING),Melbourne,A$266 / night
Annie's Escape in Warburton,Warburton,A$237 / night
"""Vista"" - Pearl Apartments St Kilda",Melbourne,A$157 / night
The Caulfield,Melbourne,A$209 / night
Cozy Motel Room near Murray,Shire of Moira,A$125 / night
[Modern City] Comfy and warm Apt@Parkville+Carpark,Melbourne,A$190 / night
Take a step back in time,Shire of Macedon Ranges,A$130 / night
Hawthorn elegant lifestyle 1 bedroom apartment,Melbourne,A$197 / night
[Grey Style] Simple and Cozy Apt@Parkville+Carpark,Melbourne,A$190 / night
Peaceful studio sanctuary in Coburg,Melbourne,A$122 / night
"Brumby Townhouse, Dinner Plain",Dinner Plain,A$162 / night
Absolute Lakeside Self-Contained Luxury Apartment,Daylesford,A$364 / night
Charming 1 Bedroom Apartment in Leafy Green Hawthorn,Melbourne,A$187 / night
Circa Red London Daylesford ~ TOWN CENTRE,Daylesford,A$257 / night
Clean + Bright Apartment in the Heart of the City,Melbourne,A$184 / night
Short Stay Freshwater Place 1 Bedroom + Balcony,Melbourne,A$165 / night
Relaxing 2BDR apartment across Doncaster Westfield,Melbourne,A$268 / night
Madam Saddler A Gorgeous Accommodation In Clunes.,Hepburn Shire,A$287 / night
Stylish 2-Bed Apartment with Parking in Hip Area,Melbourne,A$178 / night
BOUTIQUE STAYS – Vox Vibe,Melbourne,A$259 / night
"LuxuryBrandNew3Bedroom:HotTub,Pool,BarWiFi&CarPark",Melbourne,A$306 / night
Newport Leadlight Haven,Melbourne,A$154 / night
Charming 1 Bedroom In Vibrant South Yarra,Melbourne,A$145 / night
"A private, new, luxurious ground floor apartment",Woodend,A$271 / night
Scandi Stayz Retreat 1,Tawonga South,A$206 / night
"""ABODE 316"" NEW boutique 2 Bedroom, 2 Bathroom",Melbourne,A$424 / night
Docklands Style Apartment with 2 Bedroom 1008N,Melbourne,A$304 / night
Trendy 1 Bedroom Apartment In The Heart Of Collingwood,Melbourne,A$210 / night
Family-friendly Apartment in Green Glen Iris,Melbourne,A$184 / night
LITTLE ABODE ON ADENEY FREE WIFI PET FRIENDLY,Melbourne,A$209 / night
A studio apartment in Melbourne CBD with a little touch of English flare,Melbourne,A$85 / night
ASHLAR @ Manna Gums - Romantic/Fire/Spa Escape - Daylesford,Daylesford,A$251 / night
ormond stunner-- the heart of southeast melbourne,Melbourne,A$111 / night
Apartments Of Waverley - 1 Bed Apartment Free Wifi & Parking,Melbourne,A$204 / night
Hilltop Tiny House Su,Shire of Mitchell,A$127 / night
"Penthouse 2-bedrooms, 2 bathrooms, 2 car spaces, wifi, pool, gym, spa, sauna,",Melbourne,A$265 / night
Private immaculate room in lovely Essendon home,Melbourne,A$41 / night
"Elegant and modern studio apartment close to St Kilda beach with WIFI, parking",Melbourne,A$177 / night
Shadow Play@Lv36/2BR near Crown with Ocean View,Melbourne,A$318 / night
"Quiet haven, lively precinct",Melbourne,A$219 / night
Elsinore Ballarat - self contained apartment,Ballarat,A$199 / night
