Council,City
GreaterDandenongC,Dunearn
AraratRC,Dunkeld
SouthernGrampiansS,Dunkeld
GreaterSheppartonC,Dunkirk
CentralGoldfieldsS,Dunluce
AraratRC,Dunneworthy
NthnGrampiansS,Dunneworthy
MooraboolS,Dunnstown
CentralGoldfieldsS,Dunolly
LoddonS,Dunolly
GlenelgS,Dunrobin
GoldenPlainsS,Durdidwarrah
BallaratC,DurhamLead
GoldenPlainsS,DurhamLead
MooraboolS,DurhamLead
LoddonS,DurhamOx
WellingtonS,Dutson
WellingtonS,DutsonDowns
GlenelgS,DuttonWay
CorangamiteS,Duverney
MitchellS,Dysart
EastGippslandS,EaglePoint
GreaterBendigoC,Eaglehawk
GrBendigoC,EaglehawkNorth
BanyuleC,Eaglemont
StrathbogieS,Earlston
MelbourneC,EastMelbourne
SurfCoastS,EasternView
LoddonS,Eastville
MountAlexanderS,Eastville
WodongaRC,Ebden
CampaspeS,Echuca
CampaspeS,EchucaVillage
