,City,Hotel
300,Ballan,EastBallan
301,NarNarGoon,NarNarGoon
302,Ballarat,PostOffice
303,Ballarat,Ballarat
304,Ballarat,NewYork
305,PortAlbert,PortAlbert
306,Ballarat,CornishArms
307,Ballarat,Eureka
308,Skipton,Ripon
309,Ballarat,BakeryHill
310,Ballarat,RoyalOak
311,Stawell,Commercial
312,Ballarat,Eureka
313,BethangaUpper,Albion
314,Ballarat,TownHall
315,Ballan,Shannon
316,Sebastopol,CardiffArms
317,Stawell,QuartzMiners
318,Barramunga,Junction
319,Mornington,Frankston
320,KiallaWest,SevenCreeksHotel&Store
321,StLeonards,StLeonards
322,Horsham,Club
323,Ballarat,PlankRoad
324,FieryCreek,GoldenAge&Hall
325,Wangaratta,CouncilClubHotel&StGeorgesHall
326,Wangaratta,CouncilClubHotel&StGeorgesHall
327,Ballarat,Excelsior
328,Ballarat,Smiths
329,Wangaratta,Royal
330,Mooroopna,Moorooopna
331,Mooroopna,RoyalMail
332,Kyneton,Crown
333,Lockwood,QueensHead
334,Rokewood,Rokewood
335,Benalla,Benalla
336,Benalla,Benalla
337,Benalla,Benalla
338,Benalla,Benalla
339,Creswick,Star
340,Frankston,BayView
341,Ballarat,Streets
342,Euroa,EuroaInn
343,Bannockburn,Somerset
344,Kyneton,Junction
345,Skipton,Skipton
346,Beechworth,Tanswells
347,Ballarat,TurfClub
348,Ballarat,CityofHamburg
349,LongGully,RoseofAustralia
350,Ballarat,National
351,GreenHills,FleeceInn
352,Ballarat,RussellSquare
353,Kyneton,HarpofErin
354,Condah,FleeceInn
355,Kyneton,Criterion
356,Bealiba,Commercial
357,Linton,RoyalStandard
358,MountClear,Half-wayHouse
359,SwanHill,Shamrock
360,Benalla,Royal
361,Camperdown,Leura
362,Ballarat,OldEglington
363,Ballarat,WardsFamily
364,Ballarat,RifleButts
365,Dromana,Dromana
366,Queenscliff,Commercial
367,BacchusMarsh,BorderInn
368,Baringhup,SportsmansArms
369,Kilmore,Kilmore
370,Ballarat,Haymarket
371,Wangaratta,CouncilClubHotel&StGeorgesHall
372,Creswick,MinersRight
373,Creswick,SevenStar
374,Ballarat,TurfClub
375,Mooroopna,CricketersArms
376,Glenthompson,Macs
377,Ballarat,WhiteHorse
378,Mooroopna,LancefieldHotel&Store
379,Mansfield,Commercial
380,Ballarat,National
381,Ballarat,BrewersArms
382,Ararat,AsylumHill
383,RedHill,Victoria
384,Beaufort,Camp
385,Boorhaman,BontheramboHotel&PO
