,Council,City
268,TowongS,Bethanga
269,CentralGoldfieldsS,Betley
270,YarriambiackS,Beulah
271,SwanHillRC,Beverford
272,MitchellS,Beveridge
273,WhittleseaC,Beveridge
274,HindmarshS,BigDesert
275,MilduraRC,BigDesert
276,WestWimmeraS,BigDesert
277,GreaterBendigoC,BigHill
278,SurfCoastS,BigHill
279,YarraRangesS,BigPatsCreek
280,TowongS,Biggara
281,WellingtonS,Billabong
282,BulokeS,Bimbourie
283,EastGippslandS,Bindi
284,SouthGippslandS,Binginwarri
285,WellingtonS,Binginwarri
286,EastGippslandS,BingoMunji
287,BulokeS,Birchip
288,BulokeS,BirchipWest
289,MilduraRC,Birdwoodton
290,ColacOtwayS,Birregurra
291,SurfCoastS,Birregurra
292,MorningtonPeninsulaS,Bittern
293,BallaratC,BlackHill
294,AraratRC,BlackRange
295,NorthernGrampiansS,BlackRange
296,BaysideC,BlackRock
297,WhitehorseC,Blackburn
298,WhitehorseC,BlackburnNorth
299,WhitehorseC,BlackburnSouth
300,HorshamRC,Blackheath
301,WellingtonS,Blackwarry
302,MooraboolS,Blackwood
303,BassCoastS,BlackwoodForest
304,HepburnS,BlackwoodNorth
305,MorningtonPeninsulaS,Blairgowrie
306,MooraboolS,Blakeville
307,HepburnS,Blampied
308,CaseyC,BlindBight
309,BallaratC,Blowhard
310,BallaratC,BoPeep
311,PyreneesS,BoPeep
312,WangarattaRC,Bobinawarrah
313,SouthernGrampiansS,Bochara
314,AlpineS,Bogong
315,StrathbogieS,Boho
316,BenallaRC,BohoSouth
317,StrathbogieS,BohoSouth
318,BulokeS,Boigbeat
319,MilduraRC,Boinka
320,WellingtonS,Boisdale
321,NorthernGrampiansS,Bolangum
322,MacedonRangesS,Bolinda
323,SwanHillRC,Bolton
324,GlenelgS,Bolwarra
325,MooraboolS,Bolwarrah
326,BawBawS,BonaVista
327,EastGippslandS,Bonang
328,KingstonC,Bonbeach
329,WodongaRC,Bonegilla
330,MorningtonPeninsulaS,Boneo
331,BenallaRC,BonnieDoon
332,MansfieldS,BonnieDoon
333,BallaratC,Bonshaw
334,CorangamiteS,Bookaar
335,BawBawS,Boola
336,LatrobeC,Boola
337,SouthGippslandS,Boolarong
338,LatrobeC,Boolarra
339,SouthGippslandS,Boolarra
340,LatrobeC,BoolarraSouth
341,SouthGippslandS,BoolarraSouth
342,EastGippslandS,BoolePoole
343,YarriambiackS,Boolite
344,MoiraS,Boomahnoomoonah
345,SurfCoastS,Boonah
346,CorangamiteS,Boorcan
347,WangarattaRC,Boorhaman
348,WangarattaRC,BoorhamanEast
349,WangarattaRC,BoorhamanNorth
350,MansfieldS,Boorolite
351,SouthGippslandS,Boorool
352,LoddonS,Boort
353,MoiraS,Boosey
354,WangarattaRC,Boralma
355,AraratRC,BornesHill
356,KnoxC,Boronia
357,LoddonS,Borung
358,CorangamiteS,BostockCreek
359,SwanHillRC,BoundaryBend
360,CentralGoldfieldsS,Bowenvale
361,BenallaRC,Boweya
362,WangarattaRC,Boweya
363,MoiraS,BoweyaNorth
364,WangarattaRC,BowmansForest
365,WangarattaRC,Bowser
366,WhitehorseC,BoxHill
367,WhitehorseC,BoxHillNorth
368,WhitehorseC,BoxHillSouth
369,BenallaRC,Boxwood
370,GreaterSheppartonC,Boxwood
371,MountAlexanderS,Bradford
372,CorangamiteS,Bradvale
373,KingstonC,Braeside
374,GreaterSheppartonC,Branditt
375,BawBawS,BrandyCreek
376,GlenelgS,Branxholme
377,SouthernGrampiansS,Branxholme
378,BawBawS,Bravington
379,MaribyrnongC,Braybrook
380,GlenelgS,BreakawayCreek
381,GreaterGeelongC,Breakwater
382,MoyneS,BreakwaterCreek
383,GreaterGeelongC,Breamlea
384,SurfCoastS,Breamlea
385,LoddonS,Brenanah
386,PyreneesS,Brewster
387,WellingtonS,Briagolong
388,BanyuleC,BriarHill
389,NillumbikS,BriarHill
390,BenallaRC,BridgeCreek
391,MansfieldS,BridgeCreek
392,NorthernGrampiansS,BridgeInn
393,LoddonS,Bridgewater
394,LoddonS,BridgewaterNorth
395,LoddonS,BridgewateronLondon
396,AlpineS,Bright
397,BaysideC,Brighton
398,BaysideC,BrightonEast
399,GlenEiraC,BrightonEast
400,YarriambiackS,Brim
401,GlenelgS,Brimboal
402,IndigoS,Brimin
403,HorshamRC,Brimpaen
404,NorthernGrampiansS,Brimpaen
405,WestWimmeraS,Bringalbert
406,SouthernGrampiansS,BritBrit
407,MitchellS,Broadford
408,EastGippslandS,Broadlands
409,HumeC,Broadmeadows
410,MoyneS,Broadwater
411,EastGippslandS,BrodribbRiver
412,BenallaRC,BrokenCreek
413,CentralGoldfieldsS,Bromley
414,MeltonS,Brookfield
415,BrimbankC,Brooklyn
416,HobsonsBayC,Brooklyn
417,MaribyrnongC,Brooklyn
418,EastGippslandS,Brookville
