City,Council
BoxHillSouth(3128),WhitehorseC
Boxwood(3725),BenallaRC
Boxwood(3725),GreaterSheppartonC
Bradford(3463),MountAlexanderS
Bradvale(3361),CorangamiteS
Braeside(3195),KingstonC
Branditt(3630),GreaterSheppartonC
BrandyCreek(3821),BawBawS
Branxholme(3302),GlenelgS
Branxholme(3302),SouthernGrampiansS
Bravington(3821),BawBawS
Braybrook(3019),MaribyrnongC
BreakawayCreek(3303),GlenelgS
Breakwater(3219),GreaterGeelongC
BreakwaterCreek(3219),MoyneS
Breamlea(3227),GreaterGeelongC
Breamlea(3227),SurfCoastS
Brenanah(3517),LoddonS
Brewster(3352),PyreneesS
Briagolong(3860),WellingtonS
BriarHill(3088),BanyuleC
BriarHill(3088),NillumbikS
BridgeCreek(3723),BenallaRC
BridgeCreek(3723),MansfieldS
BridgeInn(3380),NorthernGrampiansS
Bridgewater(3516),LoddonS
BridgewaterNorth(3516),LoddonS
BridgewateronLondon(3516),LoddonS
Bright(3741),AlpineS
Brighton(3186),BaysideC
BrightonEast(3187),BaysideC
BrightonEast(3187),GlenEiraC
Brim(3391),YarriambiackS
Brimboal(3312),GlenelgS
Brimin(3685),IndigoS
Brimpaen(3401),HorshamRC
Brimpaen(3401),NorthernGrampiansS
Bringalbert(3319),WestWimmeraS
BritBrit(3315),SouthernGrampiansS
Broadford(3658),MitchellS
Broadlands(3875),EastGippslandS
Broadmeadows(3047),HumeC
Broadwater(3301),MoyneS
BrodribbRiver(3888),EastGippslandS
BrokenCreek(3673),BenallaRC
Bromley(3472),CentralGoldfieldsS
Brookfield(3338),MeltonS
Brooklyn(3012),BrimbankC
Brooklyn(3012),HobsonsBayC
Brooklyn(3012),MaribyrnongC
Brookville(3896),EastGippslandS
Broomfield(3364),HepburnS
Broughton(3418),HindmarshS
Broughton(3418),WestWimmeraS
BrownHill(3350),BallaratC
BrownsPlains(3685),IndigoS
Bruarong(3749),IndigoS
BrucesCreek(3757),WhittleseaC
Brucknell(3268),CorangamiteS
Brucknell(3268),MoyneS
Brunswick(3056),MorelandC
BrunswickEast(3057),MorelandC
BrunswickWest(3055),MorelandC
Bruthen(3885),EastGippslandS
Buangor(3375),AraratRC
Buangor(3375),PyreneesS
Buchan(3885),EastGippslandS
BuchanSouth(3885),EastGippslandS
Buckland(3740),AlpineS
Buckley(3240),SurfCoastS
BuckleySwamp(3301),SthnGrampiansS
Buckrabanyule(3525),BulokeS
Buckrabanyule(3525),LoddonS
BudgeeBudgee(3862),WellingtonS
Budgeree(3870),LatrobeC
BudgerumEast(3579),GannawarraS
Buffalo(3958),SouthGippslandS
BuffaloCreek(3958),AlpineS
BuffaloRiver(3737),AlpineS
Bulart(3314),SouthernGrampiansS
Buldah(3890),EastGippslandS
Bulga(3586),SwanHillRC
Bulgana(3377),NorthernGrampiansS
Bulla(3428),HumeC
Bullaharre(3266),CorangamiteS
Bullarook(3352),HepburnS
Bullarook(3352),MooraboolS
Bullarto(3461),HepburnS
BullartoSouth(3461),HepburnS
BullartoSouth(3461),MooraboolS
Bulleen(3105),ManninghamC
Bullengarook(3437),MacedonRangesS
Bullioh(3700),TowongS
Bullumwaal(3875),EastGippslandS
BulnBuln(3821),BawBawS
BulnBulnEast(3821),BawBawS
Bumberrah(3902),EastGippslandS
Bunbartha(3634),GreaterSheppartonC
Bundalaguah(3851),WellingtonS
Bundalong(3730),MoiraS
BundalongSouth(3730),MoiraS
Bundara(3898),EastGippslandS
Bunding(3342),MooraboolS
Bundoora(3083),BanyuleC
Bundoora(3083),DarebinC
Bundoora(3083),WhittleseaC
BungBong(3465),CentralGoldfieldsS
BungBong(3465),PyreneesS
Bungador(3260),ColacOtwayS
Bungal(3334),MooraboolS
Bungalally(3401),HorshamRC
Bungaree(3352),MooraboolS
Bungeet(3726),BenallaRC
BungeetWest(3726),BenallaRC
Bungil(3691),TowongS
Bunguluke(3527),BulokeS
Buninyong(3357),BallaratC
Buninyong(3357),MooraboolS
BunkersHill(3352),BallaratC
Bunyip(3815),CardiniaS
BunyipNorth(3815),CardiniaS
Buragwonduc(3858),WellingtonS
BurkesBridge(3568),GannawarraS
BurkesFlat(3475),LoddonS
Burnbank(3371),PyreneesS
Burnewang(3558),CampaspeS
Burnley(3121),YarraC
Burnside(3023),MeltonS
BurnsideHeights(3023),MeltonS
Burramine(3730),MoiraS
BurramineSouth(3730),MoiraS
Burrowyne(3709),TowongS
Burrumbeet(3352),BallaratC
Burrumbeet(3352),PyreneesS
Burwood(3125),BoroondaraC
Burwood(3125),MonashC
Burwood(3125),WhitehorseC
BurwoodEast(3151),WhitehorseC
Bushfield(3281),MoyneS
Bushfield(3281),WarrnamboolC
BushyPark(3860),WellingtonS
ButchersRidge(3885),EastGippslandS
Buxton(3711),MurrindindiS
Byaduk(3301),GlenelgS
Byaduk(3301),MoyneS
Byaduk(3301),SouthernGrampiansS
ByadukNorth(3300),SthnGrampiansS
Byawatha(3678),WangarattaRC
Bylands(3762),MacedonRangesS
Bylands(3762),MitchellS
Byrneside(3617),GreaterSheppartonC
Cabanandra(3888),EastGippslandS
Cabarita(3505),MilduraRC
CabbageTree(3364),HepburnS
CabbageTreeCreek(3889),EastGippslandS
Cairnlea(3023),BrimbankC
CalderPark(3049),BrimbankC
Caldermeade(3984),CardiniaS
CaliforniaGully(3556),GreaterBendigoC
Calivil(3573),LoddonS
Callawadda(3381),NorthernGrampiansS
Callignee(3844),LatrobeC
CalligneeNorth(3844),WellingtonS
CalligneeSouth(3844),WellingtonS
Calrossie(3971),WellingtonS
Calulu(3875),EastGippslandS
Cambarville(3779),YarraRangesS
Camberwell(3124),BoroondaraC
CamberwellEast(3126),BoroondaraC
CambrianHill(3352),GoldenPlainsS
CampaspeWest(3564),CampaspeS
Campbellfield(3061),HumeC
CampbellsBridge(3381),NthnGrampiansS
CampbellsCreek(3451),MtAlexanderS
CampbellsForest(3556),LoddonS
Campbelltown(3364),CentralGoldfieldsS
Campbelltown(3364),HepburnS
Campbelltown(3364),MountAlexanderS
Camperdown(3260),CorangamiteS
Canadian(3350),BallaratC
CanaryIsland(3537),LoddonS
Caniambo(3630),GreaterSheppartonC
CannRiver(3890),EastGippslandS
Cannie(3540),GannawarraS
CannonsCreek(3977),CaseyC
Cannum(3393),YarriambiackS
Canterbury(3126),BoroondaraC
CapeBridgewater(3305),GlenelgS
CapeClear(3351),GoldenPlainsS
CapeConran(3888),EastGippslandS
CapeOtway(3233),ColacOtwayS
CapePaterson(3995),BassCoastS
CapeSchanck(3939),MorningtonPenS
CapeWoolamai(3925),BassCoastS
CapelsCrossing(3579),GannawarraS
CaragCarag(3623),CampaspeS
Caralulup(3371),CentralGoldfieldsS
Caramut(3274),MoyneS
Caramut(3274),SouthernGrampiansS
Carapooee(3478),NorthernGrampiansS
CarapooeeWest(3478),NthnGrampiansS
Carapook(3312),GlenelgS
Carapook(3312),SouthernGrampiansS
Carboor(3678),WangarattaRC
Cardigan(3352),BallaratC
CardiganVillage(3352),BallaratC
Cardinia(3978),CardiniaS
Cardross(3496),MilduraRC
Cargerie(3334),MooraboolS
Carina(3512),MilduraRC
Caringal(3825),BawBawS
Carisbrook(3464),CentralGoldfieldsS
Carisbrook(3464),MountAlexanderS
CarlisleRiver(3239),ColacOtwayS
CarlisleRiver(3239),CorangamiteS
Carlsruhe(3442),MacedonRangesS
Carlton(3053),MelbourneC
CarltonNorth(3054),MelbourneC
CarltonNorth(3054),YarraC
Carlyle(3685),IndigoS
Carnegie(3163),GlenEiraC
Carngham(3351),PyreneesS
CarolineSprings(3023),MeltonS
Carpendeit(3260),ColacOtwayS
Carpendeit(3260),CorangamiteS
Carrajung(3844),WellingtonS
CarrajungLower(3844),WellingtonS
CarrajungSouth(3844),WellingtonS
Carranballac(3361),AraratRC
Carranballac(3361),PyreneesS
Carron(3480),BulokeS
Carrum(3197),KingstonC
CarrumDowns(3201),FrankstonC
Carwarp(3494),MilduraRC
Cashmore(3305),GlenelgS
Cassilis(3898),EastGippslandS
Castella(3777),MurrindindiS
Casterton(3311),GlenelgS
CastleCreek(3691),WodongaRC
CastleDonnington(3585),SwanHillRC
Castleburn(3862),WellingtonS
Castlemaine(3450),MountAlexanderS
Catani(3981),CardiniaS
Cathcart(3377),AraratRC
Cathkin(3714),MurrindindiS
Catumnal(3537),LoddonS
Caulfield(3162),GlenEiraC
CaulfieldEast(3145),GlenEiraC
CaulfieldNorth(3161),GlenEiraC
CaulfieldSouth(3162),GlenEiraC
Caveat(3660),MurrindindiS
Cavendish(3314),SouthernGrampiansS
Ceres(3221),GreaterGeelongC
Chadstone(3148),MonashC
ChandlersCreek(3890),EastGippslandS
ChapelFlat(3352),BallaratC
