,Title,City
10074,"Sportsmans Arms, Coldstream",Coldstream 
10075,"Imperial, Castlemaine",Castlemaine 
10076,"Metropolitan, Castlemaine",Mostyn St 
10077,"Canadian, Seymour",Emily St 
10078,"Football Club, Rushworth",Rushworth 
10079,"Commercial Club, Chiltern",Chiltern 
10080,"Ozone, Warrnambool",Kepler St 
10081,"Royal, Hastings",Hastings 
10082,"Waterloo, Yackandandah",Yackandandah 
10083,"Star, Creswick",Creswick Frenchmans Lead 
10084,"Shamrock, Inglewood",Brooke St 
10085,"Royal, Warragul",Warragul 
10086,"Royal, Warragul",Warragul 
10087,"Bridge, Echuca",Echuca 
10088,"Star, Bethanga Upper",Bethanga Upper 
10089,"Phoenix, Geelong",Geelong 
10090,"Star, Bethanga Upper",Bethanga Upper 
10091,"Her Majestys, Bendigo",corner Mitchell & Queen Sts 
10092,"Taradale, Taradale",High St 
10093,"Yallock Inn, Garvoc",Garvoc 
10094,"Katamatite Hotel & Post Office, Katamatite",Katamatite 
10095,"Commercial, Lancefield",Lancefield 
10096,"Commercial, Lancefield",Lancefield 
10097,"Camden, Maffra",Maffra 
10098,"Commercial, Lancefield",Lancefield 
10099,"Royal, Koondrook",Kondrook 
10100,"Tennysons, Port Fairy",54 Sackville St 
10101,"Tennysons, Port Fairy",54 Sackville St 
10102,"Carriers Arms, Benalla",Benalla 
10103,"Grand, Healesville",Healesville 
10104,"Bridge, Bacchus Marsh",Bacchus Marsh 
10105,"Royal Mail, Whittlesea",Whittlesea 
10106,"Junction, Willaura",Willaura 
10107,"Orient, Bendigo",Pall Mall 
10108,"Colac, Colac East",Colac East 
10109,"Albion, Avoca",Avoca 
10110,"Commercial, Everton",Everton 
10111,"Campbell Town, Campbelltown",Campbell Town 
10112,"Pier, Frankston",Frankston 
10113,"Grand Central, Cobden",corner Victoria & Curdie Sts 
10114,"Club, Sale",Foster St 
10115,"Leiths, Warburton",Warburton 
10116,"Shileds, Warrenheip",Mt Warrenheip 
10117,"Shamrock, Lancefield",Lancefield 
10118,"Oddfellows Arms, Taradale",Taradale 
10119,"Royal Exchange, Stawell",Patrick St 
10120,"Royal, Wedderburn",Wedderburn 
10121,"Cumberland, Wunghnu",Carlyle St 
10122,"Court House, Bethanga Lower",Bethanga Lower 
10123,"Hotel & Store, Eumemmering",corner Berwick Rd & Lonsdale St 
10124,"Rose of Denmark, California Gully",Mt Korong Rd 
10125,"Picola (Vic.), Picola",Picola 
10126,"Lancefield Road, Lancefield",Lancefield Junction 
10127,"Grand, Mornington",Main St 
10128,"Albion, Wangaratta",Murphy St 
10129,"White Hart, Port Fairy",Bank St 
10130,"Queens Head, Kyneton",High St 
10131,"Railway, Marong",Marong 
10132,"Miners Welcome, Stawell",Stawell 
10133,"Cobden, Cobden",Cobden 
10134,"Commercial, Mansfield",High St 
10135,"Kilmore East, Kilmore East",Kilmore East 
10136,"Commercial, Kingston",High St 
10137,"Bay View, Portarlington",Portarlington 
10138,"Royal Mail, Foster",Pioneer St 
10139,"Victoria, Murtoa",Murtoa 
10140,"Hindmarsh, Jeparit",Roy St 
10141,"Bank, Trentham",High St 
10142,"Royal Exchange, Traralgon",Traralgon 
10143,"Builders Arms, Portland",corner Percy & Henty Sts 
10144,"Farmers Arms, Daylesford",corner East & Raglan Sts 
10145,"Railway Hotel & Store, Tallarook",Tallarook 
10146,"Quambatook, Quambatook",Quambatook 
10147,"Junction, Ravenswood",Ravenswood 
10148,"Railway, Heyfield",Heyfield 
10149,"Niagara, Bendigo",Mundy St 
10150,"Minns, Melton",Melton 
10151,"Sporting Club, Castlemaine",Castlemaine 
10152,"Horse & Jockey, Wangaratta",Ryley St 
10153,"Junction Hotel & Store, Tallarook",Main St 
10154,"Miners Rest, Stawell",Stawell 
10155,"Commercial, Drouin",Drouin 
10156,"Star, Daylesford",Vincent St 
10157,"Railway, Kyneton",Baynton St 
10158,"St Arnaud, St Arnaud",corner Napier & Market Sts 
10159,"East Charlton, Charlton",Charlton 
10160,"Cudgee Hotel & Store, Cudgee",Cudgee 
10161,"Royal, Drouin",Drouin 
10162,"Princess Royal, Buninyong",Buninyong 
10163,"Criterion, Nagambie",Nagambie 
10164,"Great Britain, Redesdale Junction",Redesdale Junction 
10165,"Cross Reefs, Stawell",Church St 
10166,"Club, Kaniva",Kaniva 
10167,"White Horse & Shamrock, Raywood",Raywood 
10168,"Commercial, Bairnsdale",Bairnsdale 
10169,"Railway Commercial, Kilmore",Kilmore 
10170,"Railway, Mitiamo",Mitiamo 
10171,"Commercial, Noradjuha",Noradjuha 
10172,"Railway, Glenrowan",Glenrowan 
10173,"Royal Exchange, Sale",corner Raymond & Foster Sts 
10174,"County Court, Stawell",Patrick St 
10175,"Railway Hotel & Post Office & Store, Yendon",Main St 
10176,"Exchange, Rushworth",Rushworth 
10177,"Railway, Sale",Raymond St 
10178,"Green Park, Horsham",Horsham 
10179,"Golden Fleece, Melton",Melton 
10180,"Kilmore East, Kilmore East",Kilmore East 
10181,"Grand Central, Cobden",corner Victoria & Curdie Sts 
10182,"Star of the West, Port Fairy",corner Bank & Sackville Sts 
10183,"Commercial, Yarrawonga",Belmore St 
10184,"Court House, Bacchus Marsh",Bacchus Marsh 
10185,"Albion, Bendigo",corner View & McKenzie Sts 
10186,"Railway, Jobs Gully",corner Mt Korong Rd & Barnard St 
10187,"Railway, Donnybrook",Donnybrook 
10188,"Railway Bridge, Bendigo",corner McIvor & Kennedy Sts 
10189,"Prince of Wales, Frankston",Frankston 
10190,"Victoria, Kingston",Kingston 
10191,"Royal Mail, Mitiamo",Mitiamo 
10192,"City Club, Bendigo",Bendigo Baths Corner 
10193,"Limerick Castle, Bendigo",corner Williamson & Queen Sts 
10194,"Terminus, Seymour",Station St 
10195,"Globe, Numurkah",Numurkah 
10196,"Terminus, Shepparton",Shepparton 
10197,"Railway, Linton",Linton 
10198,"Olive Branch, Bendigo",Mitchell St 
10199,"Railway Terminus, Boort",Boort 
10200,"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West 
10201,"Standard of Freedom, Castlemaine",Castlemaine 
10202,"Pioneer, Long Gully",corner Mt Korong Rd & Young St 
10203,"Imperial, Bairnsdale",Bairnsdale 
10204,"Supreme Court, Castlemaine",Hargreaves St 
10205,"Corner, Guildford",Guildford 
10206,"Native Youth, Birregurra",Birregurra 
10207,"Glasgow Arms, Bendigo",corner Williamson & Mollison Sts 
10208,"Leigh Road, Bannockburn",Bannockburn 
10209,"Union, Port Fairy",Cox St 
10210,"Nathalia, Nathalia",Nathalia 
10211,"Manchester Arms, Ironbark",Mt Korong Rd 
10212,"Royal, Bacchus Marsh",Bacchus Marsh 
10213,"Windsor Castle, Dunolly",Dunolly 
10214,"Globe, Castlemaine",Castlemaine 
10215,"Lang Lang, Lang Lang",Lang Lang 
10216,"Durham Ox, Durham Ox",Durham Ox 
10217,"Black Swan, Goornong",Goornong 
10218,"Criterion, Horsham",Wilson St 
10219,"Royal, Dandenong",Dandenong 
10220,"View Point, Bendigo",Bendigo View Point 
10221,"Farmers Home, Lindenow",Lindenow 
10222,"Telegraph, Dunolly",Dunolly 
10223,"Wheatsheaf, Dunolly",Dunolly 
10224,"Cumberland, Castlemaine",Barker St 
10225,"Victoria, Avoca",High St 
10226,"Frenchmans Inn, Cressy",Cressy 
10227,"Royal, Wunghnu",Carlyle St 
10228,"Brian Boru, Warrnambool",Raglan Parade East 
10229,"Club, Sale",Foster St 
10230,"Bridge, Nathalia",Nathalia 
10231,"Railway, Murtoa",Murtoa 
10232,"Railway, Stawell",Stawell 
10233,"Deans Marsh, Deans Marsh",Deans Marsh 
10234,"Flinders, Flinders",Flinders 
10235,"Criterion, Trafalgar",Trafalgar 
10236,"Commercial, Romsey",Romsey 
10237,"Hopkins River, Warrnambool",Warrnambool 
10238,"Moorabee, Knowsley",Knowsley 
10239,"Woolshed, Hexham",Hexham 
10240,"Exchange, Castlemaine",corner Forest & Urquhart Sts 
10241,"Yarrawonga, Yarrawonga",Yarrawonga 
10242,"Royal, Upper Ferntree Gully",Fern Tree Gully Upper 
10243,"Albion, Stawell",Stawell 
10244,"Farmers Arms, Horsham",corner Wilson & Firebrace Sts 
10245,"Commercial, St James",St James 
10246,"Club, Warragul",Warragul 
10247,"Town Hall, Talbot",Talbot 
10248,"Caledonian, Stawell",Patrick St 
10249,"Caledonian, Buninyong",Buninyong 
10250,"Ballarat, Sale",Sale 
10251,"Royal Oak, Sale",Sale 
10252,"Somerville, Somerville",Somerville 
10253,"Carriers Arms, Springhurst",Springhurst 
10254,"Mechanics Arms, Woodend",Woodend 
10255,"Shakespeare, Great Western",Great Western 
10256,"Star, Stawell",Stawell 
10257,"Shamrock, Birchip",Birchip 
10258,"Alpine Retreat, Warburton",Warburton 
10259,"Shamrock, Murtoa",Murtoa 
10260,"Redesdale Hotel Store & Post Office, Redesdale",Redesdale 
10261,"Shamrock, Beechworth",Camp St 
10262,"Empire State, Wahgunyah",Foord St 
10263,"Bridge, Koondrook",Kondrook 
10264,"Hopetoun House, Jeparit",Jeparit 
10265,"Town Hall, Creswick",Creswick 
10266,"Leonards Hill, Leonards Hill",Leonards Hill 
10267,"Grand, Portarlington",Portarlington 
10268,"Forest Home, Yendon",Yendon 
10269,"Commercial Hotel & Victoria Hall, Dimboola",Dimboola Nine Creeks 
10270,"Guildford Hotel & Hall, Guildford",Guildford 
10271,"Royal, Rushworth",High St 
10272,"Golden Age, Stawell",Stawell 
10273,"Cricketers Arms, Rushworth",Rushworth 
10274,"Commercial, Smythesdale",Smythesdale 
10275,"Criterion, Rushworth",Rushworth 
10276,"Junction Hotel & Boggy Creek Post Office, Redesdale Junction",Redesdale Junction 
10277,"Railway, Lindenow South",Lindenow South 
10278,"Railway, Dunolly",Dunolly 
10279,"Royal, Melton",Melton 
10280,"Pyalong, Pyalong",Pyalong Rd 
10281,"Goldsmiths, Castlemaine",Castlemaine 
10282,"Royal, Mornington",Mornington 
10283,"Nags Head, Clunes",Clunes 
10284,"Criterion, Kyneton",Piper St 
10285,"Royal, St James",St James 
10286,"Swan, Stawell",Patrick St 
10287,"Family, Portarlington",Portarlington 
10288,"Town Hall, Clunes",corner Fraser & Service Sts 
10289,"Cohuna, Cohuna",Cohuna 
10290,"Commercial, Heywood",corner Cameron & Edgar Sts 
10291,"Albion, Sale",corner Raymond & Bond Sts 
10292,"National, Clunes",Clunes 
10293,"Yarck, Yarck",Yarck 
10294,"Mining Exchange, Alexandra",corner Grant & Downey Sts 
10295,"Railway, Avoca",Avoca 
10296,"Commercial, Taradale",High St 
10297,"Mitchell, Bairnsdale",Bairnsdale 
10298,"Shire Arms, Kyneton",High St 
10299,"McIvor, Maryborough",Maryborough 
10300,"Royal Mail, Mooroopna",corner Main & Archer Sts 
10301,"Lake Cooper, Corop",Corop 
10302,"Plough & Harrow, St Arnaud",St Arnaud 
10303,"Mt Egerton, Mount Egerton",Mount Egerton 
10304,"Commercial, Heyfield",Heyfield 
10305,"Drovers Arms, Goornong",Railway Place 
10306,"Junction, Koondrook",Kondrook 
10307,"Newstead, Newstead",Newstead 
10308,"Queens Head, Daylesford",corner Vincent & Stanbridge Sts 
10309,"Commercial, Guildford",Guildford 
10310,"Bull & Mouth, Horsham",Horsham 
10311,"Caledonian, Warrnambool",Fairy St 
10312,"Gippsland, Bunyip",Bunyip 
10313,"Post Office, Stawell",Stawell 
10314,"Ranges, Gembrook",Gembrook 
10315,"Harp of Erin, Merton",Merton 
10316,"Shamrock, Donald",Donald 
10317,"Camp Hotel & Hall, Dimboola",Dimboola Nine Creeks 
10318,"Commercial, Quambatook",Quambatook 
10319,"Crown, Castlemaine",Castlemaine 
10320,"Golden Age & Hall, Fiery Creek",Beaufort Fiery Creek Diggings 
10321,"Fire Brigade, Daylesford",Vincent St 
10322,"Commercial Hotel & Store, Lilydale",Lilydale 
10323,"National, Daylesford",Wellington St 
10324,"North Eastern, Euroa",Euroa 
10325,"Bridge, Maindample",Maindample 
10326,"Railway, Nathalia",Elizabeth St 
10327,"Marong, Marong",Marong 
10328,"Victoria, Dimboola",Dimboola 
10329,"Farmers Arms, Everton",Everton 
10330,"Westernport, Hastings",Hastings 
10331,"Raglan, Melton",Melton 
10332,"Five Flags, Campbells Creek",Campbells Creek 
10333,"Spring Creek Family Hotel & Store, Hepburn",Hepburn 
10334,"Webbers Brighton Hotel & General Store, Castlemaine",Castlemaine 
10335,"North Eastern, Wangaratta",Wangaratta 
10336,"Caledonian, Port Fairy",41 Bank St 
10337,"Belmont, Thomastown",Thomastown Dry Creek 
10338,"Railway, Wangaratta",Wangaratta 
10339,"Victoria, Warrnambool",corner Liebig & Lava Sts 
10340,"Commercial, Yarram",Yarram Yarram 
10341,"Coronation, Pyalong",Mollison St 
10342,"Provincial, Stawell",Stawell 
10343,"Railway, Strathmerton",Strathmerton 
10344,"Commercial, Broadford",Broadford 
10345,"Albion, Kyneton",Redelin St 
10346,"Royal Victoria, Cobram",Cobram 
10347,"White Hart, Port Fairy",Bank St 
10348,"Orient, Warragul",Queen St 
10349,"Long Beach, Carrum",Carrum 
10350,"Racecourse, St Arnaud",St Arnaud 
10351,"Racecourse, St Arnaud",St Arnaud 
10352,"Her Majestys, Bendigo",corner Mitchell & Queen Sts 
10353,"Orbost Club, Orbost",Orbost 
10354,"Alll Nations, Bendigo",Williamson Rd 
10355,"Railway, Guildford",Guildford 
10356,"Taradale, Taradale",High St 
10357,"Victoria, Dunolly",Thompson St 
10358,"Railway, Bunyip",Bunyip 
10359,"Carriers Arms, Benalla",Benalla 
10360,"Tabilk, Nagambie",Nagambie 
10361,"Apollo Bay, Apollo Bay",Apollo Bay 
10362,"Bridgewater, Bridgewater On Loddon",Bridgewater-On-Loddon 
10363,"Commercial, Broadford",Broadford 
10364,"National, Sebastopol",Ballarat Sebastopol 
10365,"Conleys Hotel Store & Butcher, Elaine",Elaine 
10366,"Rushworth, Rushworth",Rushworth 
10367,"Anglers, Warrnambool",Warrnambool Hopkins Bridge 
10368,"Builders Arms, Bendigo",Mitchell St 
10369,"Farmers Arms Hotel & Store, Gordon",Gordons 
10370,"Victoria, Rochester",Rochester 
10371,"Albion, Charlton",Charlton 
10372,"Union, Romsey",Romsey 
10373,"Dartmoor, Dartmoor",Dartmoor 
10374,"Dartmoor, Dartmoor",Dartmoor 
10375,"Grand, Mordialloc",Mordialloc 
10376,"Ploughmans Arms, Sebastopol",Ballarat Sebastopol 
10377,"Royal, Tungamah",Barr St 
10378,"Dingee, Dingee",Dingee 
10379,"Sir Walter Scott Hotel & Post Office, Tambo Crossing",Tambo Crossing 
10380,"Royal Mail, Dunkeld",Dunkeld 
10381,"White Horse, California Gully",Mt Korong Rd 
10382,"All Nations, Kilmore",Kilmore 
10383,"Royal Standard, Toora",Toora 
10384,"Carriers Arms, Daylesford",Wills Square 
10385,"Minyip, Minyip",Minyip 
10386,"Star, Bethanga Upper",Bethanga Upper 
10387,"Sorrento, Sorrento",Sorrento 
10388,"Telegraph, Bendigo",corner Mitchell & Hargreaves Sts 
10389,"Avoca, Avoca",High St 
10390,"Western, Balmoral",Balmoral 
10391,"Camp, Beaufort",Pratt St 
10392,"Pick & Shovel, Tooboorac",Tooboorac 
10393,"Western, Caramut",Caramut 
10394,"Royal, Rainbow",Rainbow 
10395,"Miners Arms, Maldon",Main St 
10396,"Clarence, Yackandandah",Yackandandah 
10397,"Athenaeum Club, Bendigo",View St 
10398,"Prince of Wales, Sale",Raymond St 
10399,"Commercial Club, Chiltern",Chiltern 
10400,"Farmers Arms, Yarrawonga",Yarrawonga 
10401,"Bull & Mouth, Creswick",Albert St 
10402,"Burgoyne, Yarra Glen",Yarra Glen 
10403,"Brefney, Framlingham",Framlingham 
10404,"Junction Hotel Post Office & Blacksmith, Redesdale North",Redesdale Junction 
10405,"Sea Lake, Sea Lake",Sea Lake 
10406,"Telegraph, Numurkah",Numurkah 
10407,"Commercial Hotel & Store, Trentham",Trentham 
10408,"Wilby, Wilby",Wilby 
10409,"Shamrock, Dennington",Dennington 
10410,"Queens Ferry, Dennington",Dennington 
10411,"London Tavern, Beechworth",Camp St 
10412,"Royal Hotel & Theatre, Castlemaine",Market Square 
10413,"Colac, Colac East",Colac East 
10414,"Exchange, Sebastopol",Ballarat Sebastopol 
10415,"Commercial, Warragul",corner Queen & Mason Sts 
10416,"Galway Arms, Romsey",Romsey 
10417,"Coach & Horses, Bendigo",corner Mundy & Mollison Sts 
10418,"Town Hall, Hamilton",Hamilton 
10419,"Farmers, Beaufort",Beaufort 
10420,"Victoria, Everton",Everton 
10421,"Club, Bairnsdale",Bairnsdale 
10422,"Club, Bairnsdale",Bairnsdale 
10423,"Club, Horsham",Horsham 
10424,"Mt Noorat, Noorat",Noorat 
10425,"Prince of Wales, Warrnambool",Warrnambool South 
10426,"Haymarket, Castlemaine",Castlemaine 
10427,"Commercial Hotel & General Store, Sunbury",Macedon St 
10428,"Railway, Benalla",Benalla 
10429,"Myrniong, Myrniong",Myrniong 
10430,"Club, Hopetoun",Austin St 
10431,"Town View, Beechworth",Beechworth 
10432,"Criterion, St Arnaud",corner Napier & Millet St 
10433,"Bridge Inn, Yan Yean",Plenty Rd 
10434,"Guiding Star, Sebastopol",Ballarat Sebastopol 
10435,"Central, Cunninghame",Cunninghame 
10436,"Waterloo, Yackandandah",Yackandandah 
10437,"Bridge Inn, Casterton",Casterton 
10438,"Court House, Steiglitz",Clow St 
10439,"Epping, Epping",Epping 
10440,"Phoenix, Geelong",Geelong 
10441,"Lake View, Bendigo",corner McRae & Baxter Sts 
10442,"Perseverance, East Murchison",Murchison East 
10443,"Olive Branch, Dunnstown",Dunns Town 
10444,"Yan Yean, Yan Yean",Yan Yean 
10445,"Railway, Sebastian",Sebastian 
10446,"Victoria, Yarrawonga",Yarrawonga 
10447,"Albion, Doctors Flat",Doctors Flat 
10448,"Ozone, Warrnambool",Kepler St 
10449,"Charlie Napier, Inglewood",Inglewood 
10450,"Railway, Beaufort",Beaufort 
10451,"Dookie, Dookie",Dookie 
10452,"Farmers Arms, Creswick",Creswick 
10453,"Commercial, Longwood",Longwood 
10454,"Shamrock Coffee Palace, Benalla",corner Carrier & McKellar Sts 
10455,"Royal, Kyneton",Kyneton 
10456,"Lake Corong, Hopetoun",Lascelles St 
10457,"Commercial, Hopetoun",Austin St 
10458,"Royal, Wycheproof",Wycheproof 
10459,"Hamilton Inn, Hamilton",Hamilton 
10460,"Railway Hotel & Store & Hall, Lal Lal",Lal Lal 
10461,"Barramunda P O & Store, Barramunga",Barramunga 
10462,"Caledonian, Hamilton",Hamilton 
10463,"Criterion, Wangaratta",Murphy St 
10464,"Macs, Maindample",Maindample 
10465,"Shamrock, Inglewood",Brooke St 
10466,"Lalbert, Lalbert",Lalbert 
10467,"Manchester Arms, St Arnaud",corner Napier & Alma Sts 
10468,"Commercial, Lancefield",Lancefield 
10469,"Orient, Warragul",Queen St 
10470,"Cllub, Traralgon",Traralgon 
10471,"Commercial & Family, Beechworth",Ford St 
10472,"Grand, Healesville",Healesville 
10473,"Myrniong, Myrniong",Myrniong 
10474,"Macedon Family, Macedon",Macedon 
10475,"Willaura Hotel & Store, Willaura",Wickliffe Rd 
10476,"Railway, Bannockburn",Bannockburn 
10477,"Red Lion, Dunolly",Dunolly 
10478,"Union Club, Echuca",corner Hare & Percy Sts 
10479,"River Murray, Yarrawonga",Yarrawonga 
10480,"Dergholm, Dergholm",Dergholm 
10481,"Belle Vue, Malmsbury",Malmsbury 
10482,"Murchison, Murchison",corner Bendigo & Goulburn Weir Rds 
10483,"Post Office, Beechworth",Camp St 
10484,"Tennysons, Port Fairy",54 Sackville St 
10485,"Britannia, Bendigo",Pall Mall 
10486,"MacAlister Bridge, Maffra",Maffra 
10487,"British & American, Ironbark",Mt Korong Rd 
10488,"Metropolitan, Castlemaine",Mostyn St 
10489,"Queens, Bendigo",corner Mitchell & Queen Sts 
10490,"Commonwealth, Orbost",Orbost 
10491,"Lake Charm Hotel & Store, Lake Charm",Lake Charm 
10492,"Woomalang, Woomelang",Woomalang 
10493,"Shamrock, Dunnstown",Dunns Town 
10494,"Railway, Merino",Merino 
10495,"Brian Boru, Bendigo",corner McIvor & Bernal Sts 
10496,"Farmers Inn, Macarthur",Macarthur 
10497,"Federal, Swan Hill",Swan Hill 
10498,"Silver Mines, Long Gully",corner Mt Korong Rd & Jackson St 
10499,"Speculation, Allendale",Allendale 
10500,"Terminus, Bendigo",corner Mitchell & Lyttleton Sts 
10501,"Railway View, Timboon",Timboon 
10502,"Loddon Leads, Newstead",Newstead 
10503,"Mailors Flat, Mailors Flat",Mailors Flat 
10504,"Kingsland, Jobs Gully",Mt Korong Rd 
10505,"Ironbark, Ironbark",Mt Korong Rd 
10506,"Kent, Bendigo",corner Wills & Mitchell Sts 
10507,"Kirkpatricks, Mornington",Mornington 
10508,"Metropolitan, Maffra",Maffra 
10509,"Commercial, Port Campbell",Port Campbell 
10510,"Orient, Bendigo",Pall Mall 
10511,"Railway, Dunkeld",Dunkeld 
10512,"Mizen Top, Bendigo",corner Williamson & Black Sts 
10513,"Shamrock, Bendigo",Pall Mall 
10514,"Katamatite Hotel & Post Office, Katamatite",Katamatite 
10515,"Quartz Miners Arms, Ironbark",Mt Korong Rd 
10516,"Brickmakers Arms, Bendigo",corner Sheepwash Rd & Morrah St 
10517,"Commercial, Werribee",Werribee 
10518,"Yallock Inn, Garvoc",Garvoc 
10519,"Commercial, Lubeck",Lubeck 
10520,"Danahers, Ironbark",corner Mt Korong Rd & Barnard St 
10521,"National, Natimuk",Natimuk 
10522,"American, Hepburn",Hepburn 
10523,"Mount Pleasant, Bendigo Jobs Gully",corner Mt Korong Rd & High St 
10524,"Shamrock, Numurkah",Numurkah 
10525,"Empire, Chiltern",Chiltern 
10526,"Criterion, Sale",corner York & Macalister Sts 
10527,"Nowa Nowa Hotel & Post Office, Nowa Nowa",Nowa Nowa 
10528,"Bridge, Dandenong",Dandenong 
10529,"Shamrock, Maldon",Maldon 
10530,"Melbourne Hotel & Store, Wandiligong",Wandiligong 
10531,"Fifeshire Arms, Ironbark",Mt Korong Rd 
10532,"Shamrock, Crossley",Crossley 
10533,"Continential, Sorrento",Sorrento 
10534,"Racecourse, Donald",Donald 
10535,"Royal, Meredith",Meredith 
10536,"Green Hills, Condah",Condah 
10537,"Hill Top, Omeo",Day St 
10538,"Captains Hotel & Post Office, Welshmans Reef",Welchmans Reef 
10539,"Birchip, Birchip",Birchip 
10540,"Town Hall, Castlemaine",Castlemaine 
10541,"Winchelsea, Winchelsea",Winchelsea 
10542,"Central Club, Castlemaine",Castlemaine 
10543,"Shepparton, Shepparton",Shepparton 
10544,"Bruthen Inn, Bruthen",Bruthen 
10545,"Elmore, Elmore",Elmore South 
10546,"Victoria, Tallangatta",Tallangatta 
10547,"Railway, Gordon",Gordons 
10548,"Fern Tree Gully, Ferntree Gully",Fern Tree Gully 
10549,"Rennisons, Mordialloc",Mordialloc 
10550,"Horse & Jockey Hotel & Post Office, Orford",Orford 
10551,"Horse & Jockey Hotel & Post Office, Orford",Orford 
10552,"Criterion, Walhalla",Walhalla 
10553,"Shakespeare, Maldon",Main St 
10554,"Railway, Hamilton",Hamilton 
10555,"Wheelmans Rest, Craigieburn",Craigieburn 
10556,"Commercial, Tungamah",Tungamah 
10557,"Lake View, Warrenheip",Warrenheip 
10558,"Railway Gate, Numurkah",Numurkah 
10559,"Western Turf, Stawell",Main St 
10560,"Empire, Walhalla",Walhalla 
10561,"Digby, Digby","Emu Creek, Digby "
10562,"Walhalla, Walhalla",Walhalla 
10563,"Exchange, Rosedale",Rosedale 
10564,"Bridge, Echuca",Echuca 
10565,"Merton, Merton",Merton 
10566,"National Hotel Store & Post Office, Woolsthorpe",Woolsthorpe 
10567,"Lake Wallace, Edenhope",Edenhope 
10568,"Court House, Nathalia",Nathalia 
10569,"Grand Junction, Walhalla",Walhalla 
10570,"Bay View, Warrnambool",corner Banyan & Merri Sts 
10571,"Ensay, Ensay",Ensay 
10572,"White Horse, Sebastian",Main St 
10573,"Club, Ferntree Gully",Fern Tree Gully 
10574,"Kyneton, Kyneton",Piper St 
10575,"Gordon, Portland",Portland 
10576,"Mount Hope, Gordon",Gordons 
10577,"Camp, Smythesdale",Smythesdale 
10578,"Winslow, Winslow",Winslow 
10579,"Sugarloaf Hotel & Store, Tooboorac",Tooboorac 
10580,"New Treasury, Nhill",Nelson St 
10581,"Commercial, Heathcote",Heathcote 
10582,"Royal Oak, Purnim",Geelong-Purnim Rd 
10583,"Cahills Hotel & Store, Taradale",Taradale 
10584,"Raywood, Raywood",Raywood 
10585,"Criterion, Tatura",Tatura 
10586,"Hibernian, Beechworth",Camp St 
10587,"Caledonian, Sandford",Sandford 
10588,"Royal, Wangaratta",Murphy St 
10589,"Exchange, Rushworth",Rushworth 
10590,"Bush Inn, Purnim",Purnim 
10591,"Railway, Marong",Marong 
10592,"Helvetia, Hepburn",Hepburn 
10593,"Hospice, Mount St Bernard",Mt St Bernard 
10594,"Commercial, Panmure",Panmure 
10595,"Commercial, Shelbourne",Shelbourne 
10596,"Royal Mail, Whittlesea",Whittlesea 
10597,"Globe, Bridgewater",Bridgewater 
10598,"Victorian Alps, Macedon",Macedon 
10599,"Porepunkah, Porepunkah",Porepunkah 
10600,"Border, Wodonga",Wodonga 
10601,"Club, Werribee",Werribee 
10602,"Grand Junction, Traralgon",Franklin St 
10603,"Australasian, Creswick",Creswick 
10604,"Exchange, Walhalla",Walhalla 
10605,"Eaglehawk, Maldon",Maldon 
10606,"Omeo, Omeo",Omeo 
10607,"Tongio Hotel & Post Office, Tongio",Tongio 
10608,"Commercial, Murtoa",Murtoa 
10609,"Gaythorne, Gisborne",Gisborne 
10610,"Terminus, Wycheproof",Wycheproof 
10611,"Mt Shadwell, Mortlake",Mortlake 
10612,"Freemasons, Taradale",Taradale 
10613,"Vine, North Wangaratta",Wangaratta North 
10614,"Grange Family, Hamilton",Hamilton 
10615,"Woorndoo, Woorndoo",Woorndoo 
10616,"Pietor Both, Warrnambool",Warrnambool 
10617,"Royal Mail, Bruthen",Bruthen 
10618,"Commercial, Rupanyup",Rupanyup 
10619,"Commercial, Echuca",corner High & Heygarth Sts 
10620,"Rising Sun, Wandiligong",Wandiligong 
10621,"Royal, Koondrook",Kondrook 
10622,"Malmsbury, Malmsbury",Malmsbury 
10623,"Globe, Talbot",Talbot 
10624,"Western Star, Koroit",Koroit 
10625,"Yackandandah, Yackandandah",Yackandandah 
10626,"Farmers Arms, Numurkah",Numurkah 
10627,"Molesworth, Molesworth",Molesworth 
10628,"Portsea, Portsea",Portsea 
10629,"Cricket Club, Donald",Donald 
10630,"Caledonia, Murchison",corner Bendigo & Tatura Rds 
10631,"Junction, Dunolly",Dunolly 
10632,"Camden, Maffra",Maffra 
10633,"Waterfalls, Macedon Upper",Macedon Upper 
10634,"Star, Bruthen",Bruthen 
10635,"Federal, Echuca",Echuca 
10636,"Federal, Echuca",Echuca 
10637,"Northumberland Arms, Heathcote",Heathcote 
10638,"Tildesley, Tildesley",Tildesley 
10639,"White Swan, Lismore",Lismore 
10640,"Nelsons Hotel & Store, Taradale",South Taradale 
10641,"Brewers Arms, Colac",Colac 
10642,"Bulls Head, Wangaratta",Murphy St 
10643,"Orient, Freeburgh",Freeburgh 
10644,"Victoria, Colac",Murray St 
10645,"Golden Fleece, Charlton",Charlton 
10646,"Burramine Hotel & Store, Burramine",Burramine 
10647,"Commercial, Merino",Merino 
10648,"Barley Sheaf, Miners Rest",Miners Rest 
10649,"Star, Walhalla",Walhalla 
10650,"Commercial, Malmsbury",Malmsbury 
10651,"Railway, Meredith",Meredith 
10652,"Boundary, Romsey",Romsey 
10653,"Royal, Warragul",Warragul 
