,Title,City
139,"Fawn, Ballarat",Sturt St 
140,"Macs, Mortlake",Dunlop St 
141,"Halfway House Hotel Store & Post Office, Carron",Carron 
142,"British American, Maldon",Maldon 
143,"Commercial, Mansfield",High St 
144,"Delatite, Mansfield",Mansfield 
145,"Northumberland, Ballarat",Sturt St 
146,"Hodges Belle Vue, Daylesford",Daylesford 
147,"Pavilion, Ballarat",Havelock St 
148,"Ship Inn, Ballarat",Eyre St 
149,"Harp of Erin Hotel & Post Office, Bullengarook",Bullengarook 
150,"Palace, Queenscliff",Queenscliff 
151,"Grouts, Ballarat",Victoria St 
152,"Live & Let Live, Barkers Creek",Barkers Creek 
153,"Talbot, Barkers Creek",Barkers Creek 
154,"Shamrock, Kyneton",Mollison St 
155,"Shamrock, Kyneton",Mollison St 
156,"Borough Boundary, Ballarat",Creswick Rd 
157,"White Horse, Sebastian",Main St 
158,"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West 
159,"Harp of Erin, Merton",Merton 
160,"Royal Mail, Archies Creek",Archies Creek 
161,"Alexandra, Ballarat",Sturt St 
162,"Shamrock Hotel & Store, Mooroopna",Mooroopna 
163,"View Point, Kyneton",Kyneton 
164,"Commercial, Kyneton",corner Mollison & Yaldwin Sts 
165,"Bute, Ballarat",Peel St 
166,"Westbury, Westbury",Westbury 
167,"Commercial, Mooroopna",Morrell St 
168,"Junction, Narrung",Narrung 
169,"Selecters Arms, Brandy Creek",Brandy Creek 
170,"Criterion, Carngham",Carngham 
171,"Rosherville, Metung",Metung 
172,"Royal Mail, Mooroopna",corner Main & Archer Sts 
173,"Quartz Miners, Stawell",Stawell 
174,"Somerset, Bannockburn",Bannockburn 
175,"Barb, Newtown",Newtown 
176,"Pack Horse, Ballarat",Durham St 
177,"Frankston, Mornington",Schnapper Point 
178,"Washington, Ballarat",Skipton St 
179,"Grange Family, Hamilton",Hamilton 
180,"Junction, Woods Point",Woods Point 
181,"John OGroat, Ballarat",Main Rd 
182,"Royal Standard, Linton",Suffolk St 
183,"Rokewood, Rokewood",Rokewood 
184,"Lubeck, Lubeck",Lubeck 
185,"Commercial, Rupanyup",Rupanyup 
186,"Prince of Wales, Ballarat",Humffray St 
187,"Royal Mail, Mooroopna",corner Main & Archer Sts 
188,"Victoria, Hamilton",corner Gray & Thompson Sts 
189,"Limerick, Ballarat",Main Rd 
190,"Junction, Lauriston",Lauriston 
191,"Jones, St Arnaud",St Arnaud 
192,"Liverpool Arms, Talbot",Maryborough Rd 
193,"White Hart, Ballarat",Sturt St 
194,"Railway, Kyneton",Baynton St 
195,"Court House, Jamieson",Perkin St 
196,"Royal, Mansfield",Mansfield 
197,"Greyhound, Ballarat",Main Rd 
198,"Hunstmans Inn, Meredith",Meredith 
199,"Crown, Horsham",Wilson St 
