tourist_site_name,tourist_site_address,tourist_site_rating,tourist_site_city
Black Rock Pier,"Victoria, Australia",4.7,SANDRINGHAM
Foreshore Reserve,"Brighton VIC 3186, Australia",4.5,SANDRINGHAM
The Black Pin,"211, State Route 33, Black Rock VIC 3193, Australia",5.0,SANDRINGHAM
Sandringham Playground,"Sandringham VIC 3191, Australia",4.1,SANDRINGHAM
Peace Park,"7 Linacre Rd, Hampton VIC 3188, Australia",4.8,SANDRINGHAM
G.L. Basterfield Park,"Hampton East VIC 3188, Australia",4.4,SANDRINGHAM
Black Rock Clock Tower,"Black Rock VIC 3193, Australia",4.5,SANDRINGHAM
Sir William Fry Reserve,"Nepean Hwy, Highett VIC 3190, Australia",4.3,SANDRINGHAM
Green Point,"Brighton VIC 3186, Australia",4.5,SANDRINGHAM
Ricketts Point Marine Sanctuary,"Port Phillip Bay, Beaumaris VIC 3193, Australia",4.5,SANDRINGHAM
Historic Shipwreck Protected Zone –HMVS Cerberus,"Beach Rd, Black Rock VIC 3193, Australia",4.3,SANDRINGHAM
Benalla Ceramic Mural,"Mair St, Benalla VIC 3672, Australia",4.4,SANDRINGHAM
Benalla Street Art,"Denny St, Benalla VIC 3672, Australia",4.7,BENALLA
Benalla Costume & Kelly Museum,"14 Mair St, Benalla VIC 3672, Australia",4.2,BENALLA
Benalla Art Gallery,"97 Bridge St, Benalla VIC 3672, Australia",4.3,BENALLA
Benalla Migrant Camp Photographic Exhibition,"Benalla VIC 3672, Australia",0.0,BENALLA
Visit Benalla,"54 Egmont St, Benalla VIC 3672, Australia",0.0,BENALLA
Outdoor Art,"FX4M+G9, Benalla VIC 3672, Australia",0.0,BENALLA
Reef Hills State Park,"Reef Hills Rd, Benalla VIC 3672, Australia",4.0,BENALLA
Benalla Visitor Information Centre,"14 Mair St, Benalla VIC 3672, Australia",4.3,BENALLA
Benalla Holiday Park,"115 Sydney Rd, Benalla VIC 3672, Australia",3.8,BENALLA
Benalla Showground,"Benalla VIC 3672, Australia",4.0,BENALLA
Benalla Botanical Gardens,"1 Bridge St W, Benalla VIC 3672, Australia",4.4,BENALLA
Superior Air Adventures,"Samaria Rd, Benalla VIC 3672, Australia",0.0,BENALLA
Benalla Rose Garden And Playground,"w 3672, 2 Bridge St W, Benalla VIC 3672, Australia",4.5,BENALLA
Benalla Tourist Park,"115 Sydney Rd, Benalla VIC 3671, Australia",4.1,BENALLA
Benalla Aviation Museum,"57 Samaria Rd, Benalla VIC 3672, Australia",4.6,BENALLA
Benalla Splash Park,"14 Mair St, Benalla VIC 3672, Australia",5.0,BENALLA
Broken River K12 S.S.R,"Goulding Cl, Benalla VIC 3672, Australia",4.0,BENALLA
Benalla ProMowing,"54 Thomas St, Benalla VIC 3672, Australia",0.0,BENALLA
Statue Of Sir Edward Dunlop,"2A Bridge St W, Benalla VIC 3672, Australia",4.7,BENALLA
Read Gardens,"24 Stanhope Grove, Camberwell VIC 3124, Australia",4.5,BENALLA
Riversdale Park,"Camberwell VIC 3124, Australia",4.3,CAMBERWELL
Through Road Reserve,"Through Rd, Camberwell VIC 3124, Australia",4.4,CAMBERWELL
Frog Hollow Reserve,"25 Fordham Ave, Camberwell VIC 3124, Australia",4.2,CAMBERWELL
Camberwell Sunday Market,"Market Pl, Camberwell VIC 3124, Australia",4.3,CAMBERWELL
Fordham Gardens,"Camberwell VIC 3124, Australia",4.6,CAMBERWELL
Powell Avenue Reserve,"410 Camberwell Rd, Camberwell VIC 3124, Australia",3.0,CAMBERWELL
Canterbury Gardens,"Canterbury VIC 3126, Australia",4.5,CAMBERWELL
Lynden Park,"Lynden St, Camberwell VIC 3124, Australia",4.4,CAMBERWELL
Camberwell south park,"Camberwell VIC 3124, Australia",0.0,CAMBERWELL
Willison Park,"8 Culliton Rd, Camberwell VIC 3124, Australia",4.1,CAMBERWELL
Lower Reserve,"260 Camberwell Rd, Camberwell VIC 3124, Australia",4.0,CAMBERWELL
Highfield Park,"120 Highfield Rd, Camberwell VIC 3124, Australia",4.3,CAMBERWELL
Seymour Grove Reserve,"404 Camberwell Rd, Camberwell VIC 3124, Australia",3.0,CAMBERWELL
Wattle Park,"Riversdale Rd, Burwood VIC 3125, Australia",4.4,CAMBERWELL
Lynden Park Oval,"Camberwell VIC 3124, Australia",4.3,CAMBERWELL
Shenley Ground,"8/2 Rubens Grove, Camberwell VIC 3124, Australia",4.3,CAMBERWELL
Boroondara Park,"Canterbury Rd, Camberwell VIC 3126, Australia",4.5,CAMBERWELL
