Hotel_name,Hotel_city,Hotel_price,Hotel_rating
Lovely Classic Apartment Steps From Beach,Melbourne,A$175 / night,5.0
Willowbank at Taggerty,Shire of Murrindindi,A$309 / night,4.8
House on the Red Hill,Red Hill South,A$774 / night,5.0
RACV Cape Schanck Resort,Cape Schanck,A$654 / night,4.5
Melbourne River Views,Melbourne,A$330 / night,4.6
Toolebewong Farm Cottage,Shire of Yarra Ranges,A$182 / night,4.9
Somerset Residential Apartment,Melbourne,A$154 / night,4.7
"Comfy Quite 4BR Family House,1 min to Shopping Centre,Tarneit,Melbourne独栋别墅",Victoria,A$170 / night,5.0
Dawn's Retreat near the Murray,Shire of Indigo,A$131 / night,5.0
"Quiet and comfortable townhouse - walk to river, tram and Highpoint Shopping",Melbourne,A$158 / night,5.0
Modern 2-Bedroom @ Southbank & Crown Casino *FREE PARKING + WIFI*,Melbourne,A$214 / night,3.8
Vaughan St Guest House Shepparton - Central location long term stay reduced rate,Shepparton,A$165 / night,4.5
Romantic Getaway with Spa and Gardens,Sassafras,A$307 / night,2.6
"2BR Suites on Bourke, Perfect Location, Views",Melbourne,A$177 / night,4.0
Walk to Elwood beach and village,Melbourne,A$176 / night,2.6
EAST MELBOURNE TERRACE,Melbourne,A$747 / night,3.8
Blackburn Holiday Apartment 4,Melbourne,A$115 / night,4.6
"""Retreat & Relax @ 128""- Mildura Holiday & Corporate Accommodation",Mildura VIC,A$240 / night,4.8
Tullaburra Farm Stay and Horse agistment,Shire of Moorabool,A$150 / night,4.8
CHIC APARTMENT- CLOSE TO BEACH,Melbourne,A$161 / night,4.8
Ravenswood-an iconic Drouin property,Shire of Baw Baw,A$179 / night,5.0
Princes off Chapel in Prahran 2BR with CBD Views,Melbourne,A$180 / night,5.0
BOUTIQUE STAYS – Central Park,Melbourne,A$633 / night,4.6
Luxury Apt in Southbank,Melbourne,A$300 / night,5.0
50th Floor sub penthouse in front of Casino!,Melbourne,A$756 / night,3.8
Scandi Stayz Retreat 3,Tawonga South,A$210 / night,2.6
One Fine Day We Shall See,Melbourne,A$243 / night,4.6
Melbourne Star - central city location - sleeps 5,Melbourne,A$273 / night,4.0
"""Carlisle"" - Pearl Apartments St Kilda",Melbourne,A$201 / night,4.7
Deluxe 1 Bedroom Twin Apartment & Double Sofa Bed,Melbourne,A$172 / night,4.1
Sleek Skyline View Apartment Ideal for City Break,Melbourne,A$454 / night,4.4
165 On Bogong - self contained unit,Ballarat,A$206 / night,4.2
Harbour Escape Apartments Docklands,Melbourne,A$238 / night,4.4
A Comfy 2BR Apt with a Panoramic View of the City,Melbourne,A$153 / night,3.9
Beach Stay Apartment Melbourne City & Port,Melbourne,A$217 / night,5.0
Birches Serviced Apartments,Melbourne,A$175 / night,4.2
"Oversized Apartment Close to City, Parks, MCG",Melbourne,A$292 / night,3.9
ABODE ON ADENEY FREE WIFI / PET FRIENDLY,Melbourne,A$426 / night,4.9
Stunning farmstay in beautiful Harcourt Hills,City of Greater Bendigo,A$149 / night,4.7
The Royal Absolute Ripper,Melbourne,A$140 / night,4.7
"Ultimate location , parking and public transport, shopping and restaurants",Melbourne,A$306 / night,3.8
executive   Shepparton,Shepparton,A$226 / night,5.0
Very Spacious apartment in city centre close to tourist attractions,Melbourne,A$265 / night,3.5
Riverside apartment overlooking parkland with river views.  Near transport,Melbourne,A$155 / night,4.8
"Superb St Kilda Location, 2BR Renovated Art Deco, Family-Friendly, Quiet Street",Melbourne,A$268 / night,4.8
Lake Apartments - Metres to Lake Wendouree,Ballarat,A$178 / night,4.7
"Long Stay Discount, Parking, Great Family Getaway, Close to Zoo, Spa Bath, BBQ",Melbourne,A$364 / night,4.7
"AHA @ Port of Sale 1,2 or 3 bedroom",Shire of Wellington,A$243 / night,5.0
Readyset on Spencer,Melbourne,A$152 / night,4.0
Cityside - StayCentral,Melbourne,A$299 / night,3.8
"Seaside Boutique Accommodation, just moments to Seaford Beach",Melbourne,A$298 / night,5.0
"Laurent · ""Laurent"" Balcony Views | Steps from Laneway Vibes",Melbourne,A$422 / night,3.8
"LuxuryBrandNew2Bedroom:HotTub,Pool,BarWiFi&CarPark",Melbourne,A$360 / night,3.4
