Title,Location,Name,Relationship,Date,Source
"Dergholm, Dergholm",Dergholm (Vic.),"Rapken, R M",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shakespeare, Maldon",Main St (Maldon Vic.),"Rash, Henry",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bedford, Castlemaine",Forest St (Castlemaine Vic.),"Ray, I",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Dunolly",Dunolly (Vic.),"Ray, Jane",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Caledonian, Hamilton",Hamilton (Vic.),Reen,Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cumberland, Wunghnu",Carlyle St (Wunghnu Vic.),"Reid, L",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Goulburn, Seymour",Seymour (Vic.),"Reilly, C P",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club, Granya",Granya (Vic.),"Reilly, J D",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office, Beechworth",Camp St (Beechworth Vic.),"Rendell, W",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Sheep Hills",Sheep Hills (Vic.),"Renert, Louis",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Belvidere, Echuca",Hare St (Echuca Vic.),"Reynolds, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Everton",Everton (Vic.),"Richards, T",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Central, Costerfield South",Costerfield Sth (Vic.),"Richardson, Joseph",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Donnybrook",Donnybrook (Vic.),"Riordan, R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Rupanyup",Rupanyup (Vic.),"Robbie, Alex",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Inglewood",Brooke St (Inglewood Vic.),"Roberts, Job",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cathcart Hotel & P.O., Denicull Creek",Denicull Creek (Vic.),"Robertson, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial Hotel & Post Offie & Store, Indigo",Indigo (Vic.),"Robinson, Charles",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Olinda, Lilydale",Lilydale (Vic.),"Robinson, E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hotel & Post Office, Grenville",Grenville (Vic.),"Robinson, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Miners Arms, Chiltern Valley",Chiltern Valley (Vic.),"Rogers, R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Bethanga Upper",Bethanga Upper (Vic.),"Roglund, A H S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mineral Springs, Hepburn",Hepburn (Vic.),"Rolleri, G",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Castlemaine",Graves St (Castlemaine Vic.),"Romey, W H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway Hotel, Castlemaine",Castlemaine (Vic.),"Romey, W H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge, Mitta Mitta",Mitta Mitta (Vic.),"Roper, W H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ross Dale Hotel & Store, Howes Creek",Howes Creek (Vic.),"Ross, John",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Swan Reach, Swan Reach",Swan Reach (Vic.),"Ross, Ann",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Glelnmaggie, Glenmaggie",Glenmaggie (Vic.),"Rossbotham, John L",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Wheatsheaf, Terang",High St (Terang Vic.),"Rowan, J P",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star Hotel & Theatre, Beechworth",Ford St (Beechworth Vic.),"Rowe, H J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Globe, Castlemaine",Castlemaine (Vic.),"Rowe, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Upper Loddon, Glenlyon",Glenlyon (Vic.),"Rowling, Eliza",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Kotupna",Kotupna (Vic.),"Ruler, Janet",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Old England, Barkers Creek",Barkers Creek (Vic.),"Russell, Sarah",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Restdown, Rochester",Moore St (Rochester Vic.),"Ryan, C",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway Club, Seymour",Station St (Seymour Vic.),"Ryan, D E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Yambuk",Yambuk (Vic.),"Ryan, James",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Happy Valley",Happy Valley (Vic.),"Ryan, John",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Arms, Burramine South",Burramine South (Vic.),"Ryan, Thomas J",Not identified,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fish Creek, Fish Creek",Fish Creek (Vic.),"Ryan, W P",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Kobyboyn, Kobyboyn",Kobyboyn (Vic.),"Ryan, Catherine",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Terminus Hotel & R R Rooms, Ararat",Queen St (Ararat Vic.),"Ryan, Honorah",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Derby",Derby (Vic.),Ryan,Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mechanics Arms, Woodend",Woodend (Vic.),"Sampson, J A",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Rochester",Elmore Rd (Rochester Vic.),"Sands, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Bethanga Upper",Bethanga Upper (Vic.),"Saunders, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eumemmerring, Eumemmering",Eumemmering (Vic.),"Savage, Annie",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Eldorado",Eldorado (Vic.),"Savage, R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Kangaroo Ground, Kangaroo Ground",Kangaroo Ground (Vic.),"Scannell, Rodger",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge Inn, Casterton",Casterton (Vic.),"Schofield, W H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harvest Home, Wollert",Wollert (Vic.),"Schwartz, Emil",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Arms, Talbot",Talbot (Vic.),"Scott, Elizabeth",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Coromby, Coromby",Coromby (Vic.),"Scown, James H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Australian Hotel & Store, Woodvale",Sydney Flat Woodvale (Vic.),Scutwck,Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Warrnambool",corner Merri & Kelp Sts (Warrnambool Vic.),"Sears, Thomas H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bristol Hill, Maryborough",Maryborough (Vic.),"Seebach, E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bush Inn & Store, Baringhup",Baringhup (Vic.),"Seedsman, S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria Hotel Store & Post Office, Wehla",Wehla (Vic.),"Segrave, Margaret F",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Heyfield",Heyfield (Vic.),"Sewell, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hotel & Blacksmith, Emu Creek",Emu Creek (Vic.),"Seymour, Geo",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Terrick Club Hotel & Post Office, Terrick Terrick East",Terrick Terrick East (Vic.),"Shanahan, Patrick",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Stream, Newtown",Newtown (Vic.),"Sharp, Seth",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bears Lagoon Hotel & Post Office, Janiember East",Janiember East (Vic.),"Shaw, B",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Crown, Clunes",Clunes (Vic.),"Shea, Catherine",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bangor Hotel General Store & Post Office, Coonooer Bridge",Coonooer Bridge (Vic.),"Sheales, Patk T",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Avenel",Old Avenal (Vic.),"Shelton, Esau",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West (Vic.),"Sheppard, A",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Murtoa",Murtoa (Vic.),"Sheridan, George",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"London, Barrys Reef",Barrys Reef (Vic.),"Sherwood, Selenia",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mt Ararat Hotel, Store & Post Office, Cathcart",Cathcart (Vic.),"Shields, Frederick",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Southern Cross, Moyhu",Moyhu (Vic.),"Shields, W",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Australian Hotel & Store, Woodvale",Sydney Flat Woodvale (Vic.),"Shingles, Edward",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Byaduk Hotel & Store, Byaduk North",Byaduk North (Vic.),"Siers, W P",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Lubeck",Lubeck (Vic.),"Simmons, Robert",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Old Dunolly, Goldsborough",Goldsborough (Vic.),"Simmons, S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Stawell",Stawell (Vic.),"Simpson, George",Other,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hotel & P O, Sarsfield",Sarsfield (Vic.),"Simpson, Magdalene",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Vine, Wahgunyah",Wahgunyah (Vic.),"Simpson, F",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Raglan, Daylesford",Raglan St (Daylesford Vic.),"Skardon, Agnes",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Winton, Winton",Winton (Vic.),"Skelton, Elizabeth J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Argyleshire, Illabarook",Illabarook (Vic.),"Skelton, G R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack Hotel & Post Office, Frenchmans",Frenchmans (Vic.),"Skinner, Robert",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Emu",Emu (Vic.),"Slocomb, S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Leonards, St Leonards",St Leonards (Vic.),"Smiley, Mary",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Port Albert, Port Albert",Port Albert (Vic.),"Smith, A J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Myers Flat",Myers Flat (Vic.),"Smith, Alex S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Australian Hotel & Store, Woodvale",Sydney Flat Woodvale (Vic.),"Smith, Alexander",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Arms, Yarrawonga",Yarrawonga (Vic.),"Smith, Augustus",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Greens Creek Hotel & Post Office, Greens Creek",Greens Creek (Vic.),"Smith, Edward",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lara, Lara",Lara (Vic.),"Smith, Elijah",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Woorak",Woorak (Vic.),"Smith, Fredk",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Glengarry",Glengarry (Vic.),"Smith, H W",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Taradale",High St (Taradale Vic.),"Smith, John",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Merrigum",Merrigum (Vic.),"Smith, John S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Yarck, Yarck",Yarck (Vic.),"Smith, Robert",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince Albert, Clunes",Clunes (Vic.),"Smith, Samuel",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Trentham",Trentham (Vic.),"Smith, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bull & Mouth, Avoca",Avoca (Vic.),"Smith, A",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cumberland Pewley Hill, Kooroocheang",Kooroocheang (Vic.),"Smith, Emily V E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Taradale",Taradale (Vic.),"Smith, John",Not identified,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Beechworth",Church St (Beechworth Vic.),"Snow, James",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"United States, Carngham",Carngham (Vic.),"Sootie, R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office Hotel & P O & Store, Rheola",Rheola (Vic.),"Soulsby, Robert",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Rutherglen",Main St (Rutherglen Vic.),"Spears, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bucks Head, Clunes North",Clunes North (Vic.),"Spence, Jane",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Brighton Hotel Post Office & Blacksmith, Porcupine Flat",Porcupine Flat (Vic.),"Spencer, James",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rokewood, Rokewood",Rokewood (Vic.),"Stanbrook, George",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Hastings",Hastings (Vic.),"Stanford, E M",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Morang, Morang",Morang (Vic.),"Stanton, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge Inn, Yan Yean",Plenty Rd (Yan Yean South Vic.),"Stanton, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Canadian",Canadian (Vic.),"Stapleton, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Lyonville",Lyonville (Vic.),"Steckfuss, Balthaser",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mount Alexander, Castlemaine",Mostyn St (Castlemaine Vic.),"Stephens, C",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rochester, Rochester",Rochester (Vic.),"Stevenson, P W",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"National, Stawell",Stawell (Vic.),"Stevenson, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Heywood",corner Cameron & Edgar Sts (Heywood Vic.),"Stewart, Andrew",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Nelson, Nelson",Nelson (Vic.),"Stewart, Charles",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stirling, Stirling",Stirling (Vic.),"Stewart, Margaret",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Merton",Merton ( Vic.,"Stewart, C",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grassmere Hotel Store & Post Office, Grassmere",Grassmere (Vic.),"Stewart, J G",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Council Club Hotel & St Georges Hall, Wangaratta",Murphy St (Wangaratta Vic.),"Stewart, S",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stewarts, Burrumbeet",Burrumbeet (Vic.),"Stewart, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Seymour",Emily St (Seymour Vic.),"Stirling, E G",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Moonambel",Moonambel Mountain Creek (Vic.),"Stockman, H T",Other,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Yarram Club, Yarram",Yarram Yarram (Vic.),"Stockwell, C J",Other,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Miners Rest, Stawell",Stawell (Vic.),"Stokes, M",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Standard Tap, Campbells Creek",Campbells Creek (Vic.),"Stone, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Snake Valley",Snake Valley Ovens Diggings (Vic.),"Storey, Isaac",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club, Tylden",Tylden (Vic.),"Strain, George",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Avon Plains, Avon Plains",Avon Plains (Vic.),"Stratford, Frederick",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Doncaster, Doncaster",Doncaster (Vic.),"Stutt, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Wy Kee, Beechworth",Upper Stanley Rd (Beechworth Vic.),Su Yon Goon,Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Loch",Loch (Vic.),"Suding, Isabella",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Gracefield, Rye",Rye (Vic.),"Sullivan, P",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British Queen, Vaughan",Vaughan (Vic.),Sun Yee Goon,Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Craigie Hotel & Post Office & Store, Craigie",Craigie (Vic.),"Sunberg, Charles",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Pier, San Remo",San Remo (Vic.),"Suss, Conrad",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Euroa",Euroa (Vic.),"Sutherland, Geo",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club, Sale",Foster St (Sale Vic.),"Swan, C G",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Clarence, Echuca",Echuca (Vic.),"Syke, Annie",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cardinia, Beaconsfield",Beaconsfield (Vic.),"Sykes, Jesse",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cattle Market, Clunes",Clunes (Vic.),"Symons, Laura",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Brewers Arms & Rail Ref Rooms, Colac",Colac (Vic.),"Talmage, George",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bendigo, Dunolly",Dunolly (Vic.),"Tatchell, William",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Inglewood",Brooke St (Inglewood Vic.),"Tatchell, Eliza H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Taylors Family, Warrnambool",Liebig St (Warrnambool Vic.),"Taylor, J T",Other,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Taylors Family, Warrnambool",Liebig St (Warrnambool Vic.),"Taylor, James",Other,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Court House, Corryong",Corryong (Vic.),"Taylor, John G",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, St Arnaud",corner Napier & Walker Sts (St Arnaud Vic.),"Taynton, W",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Koondrook",Kondrook (Vic.),"Teague, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club, Traralgon",Traralgon (Vic.),"Thomas, John R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stock Exchange, Mount Egerton",Mount Egerton (Vic.),"Thomas, T C",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Corindhap Hotel & Post Office, Corindhap",Corindhap (Vic.),"Thomas, M J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Daylesford",Vincent St (Daylesford Vic.),"Thompson, A",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sale",corner York & Macalister Sts (Sale Vic.),"Thompson, J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Beaufort",Beaufort (Vic.),"Thompson, Thomas",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Woodend",High St (Woodend Vic.),"Thorburn, Robert",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Shepparton",Shepparton (Vic.),"Thorn, George",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Exchange, Foster",Foster (Vic.),"Thornley, M",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Paynesville, Paynesville",Paynesville (Vic.),"Todd, A E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Donald",Donald (Vic.),"Todd, M G",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Daylesford, Daylesford",corner Vincent & Victoria Sts (Daylesford Vic.),"Tognini, J J",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office Hotel & Store, Torrumbarry",Torrumbarry (Vic.),"Tolhurst, Eliza",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bull & Mouth, Horsham",Horsham (Vic.),"Tolhurst, R",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Broken River, Kialla",Kialla (Vic.),"Tonkin, R D",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Plough Inn, Cashel",Cashel (Vic.),"Tonks, Katherine",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Meeniyan Hotel & Store, Meeniyan",Meeniyan (Vic.),"Tonkyn, Christina",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Little River, Little River",Little River (Vic.),"Toohey, James",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Age, Tarnagulla",Tarnagulla (Vic.),"Toole, E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Arms, Smeaton",Smeaton (Vic.),"Tracy, Thos H",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Esplanade, Queenscliff",Queenscliff (Vic.),"Traill, W",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial & Family, Beechworth",Ford St (Beechworth Vic.),"Transwell, E",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Travellers Rest, Black Lead",Black Lead (Vic.),"Trezise, James",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Picola (Vic.), Picola",Picola (Vic.),"Trickey, Enoch",Licensee,1895,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
