Title,Location,Name,Relationship,Date,Source
"Victorian Alps, Macedon",Macedon (Vic.),"Collins, Annie",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge, Dargo",Dargo (Vic.),"Coloe, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Leonards, St Leonards",St Leonards (Vic.),Copperwaite,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Kyneton",corner Mollison & Yaldwin Sts (Kyneton Vic.),Coulson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Leonards, St Leonards",St Leonards (Vic.),Coulthard,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Clunes, Clunes North",Clunes North (Vic.),"Coundon, Ralph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dairy & Ice Works, Rushworth",Rushworth (Vic.),Coyle,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Warrnambool, Warrnambool",corner Banyan & Merri Sts (Warrnambool South Vic.),"Craig, John H",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Balaclava, Whroo",Whroo (Vic.),"Crawford, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Wangaratta",Wangaratta (Vic.),Crisp,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Kyneton",Kyneton (Vic.),Crocker,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Bacchus Marsh",Bacchus Marsh (Vic.),"Crooke, E J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Leura, Camperdown",Camperdown (Vic.),"Crosby, Thomas R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Crutchley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Fleece, Charlton",Charlton (Vic.),"Curtin, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Benalla",Benalla (Vic.),"Darmody, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Warrnambool",corner Liebig & Lava Sts (Warrnambool Vic.),"Davies, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Western, Warrnambool",Warrnambool (Vic.),"Davies, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Red Hill",Blackwood Red Hill (Vic.),Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Barramunga",Barramunga Red Hill (Vic.),Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Red Hill",Red Hill (Vic.),Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Clarkes, Ballarat",Sturt St (Ballarat Vic.),"Dawson, Eliiza",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shearers Arms, Newtown",Western Rd (Geelong Newtown Vic.),"Day, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ancient Briton, Ballarat",Main Rd (Ballarat Vic.),"Day, A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Euroa",Euroa (Vic.),"De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"King Parrot, Drouin South",Drouin South (Vic.),"Dempsey, William",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Belmont, Thomastown",Thomastown Dry Creek (Vic.),"Devine, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"North Eastern, Benalla",Benalla (Vic.),"Dewane, E",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Baddaginnie",Baddaginnie (Vic.),"Dewart, John H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sale",corner York & Macalister Sts (Sale Vic.),"Dickens, N",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Robin Hood, Drouin West ( Vic. -- Hotels -- Robin Hood",Drouin West ( Vic.,"Dickson, Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Kyneton",Piper St (Kyneton Vic.),"Dixon, D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Imperial, Ballarat",Armstrong St (Ballarat Vic.),"Dobbyn, F J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Victoria, Wangaratta",Faithful St (Wangaratta Vic.),"Dodsworth, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand Terminus, Bairnsdale",Bairnsdale (Vic.),"Donald, Thomas Frederick",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Donegans, Ballarat",Victoria St (Ballarat Vic.),Donegan,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
