,Hotel,City
301,Nar Nar Goon,Nar Nar Goon
302,Post Office,Ballarat
303,Ballarat,Ballarat
304,New York,Ballarat
305,Port Albert,Port Albert
306,Cornish Arms,Ballarat
307,Eureka,Ballarat
308,Ripon,Skipton
309,Bakery Hill,Ballarat
310,Royal Oak,Ballarat
311,Commercial,Stawell
312,Eureka,Ballarat
313,Albion,Bethanga Upper
314,Town Hall,Ballarat
315,Shannon,Ballan
316,Cardiff Arms,Sebastopol
317,Quartz Miners,Stawell
318,Junction,Barramunga
319,Frankston,Mornington
320,Seven Creeks Hotel & Store,Kialla West
321,St Leonards,St Leonards
322,Club,Horsham
323,Plank Road,Ballarat
324,Golden Age & Hall,Fiery Creek
325,Council Club Hotel & St Georges Hall,Wangaratta
326,Council Club Hotel & St Georges Hall,Wangaratta
327,Excelsior,Ballarat
328,Smiths,Ballarat
329,Royal,Wangaratta
330,Moorooopna,Mooroopna
331,Royal Mail,Mooroopna
332,Crown,Kyneton
333,Queens Head,Lockwood
334,Rokewood,Rokewood
335,Benalla,Benalla
336,Benalla,Benalla
337,Benalla,Benalla
338,Benalla,Benalla
339,Star,Creswick
340,Bay View,Frankston
341,Streets,Ballarat
342,Euroa Inn,Euroa
343,Somerset,Bannockburn
344,Junction,Kyneton
345,Skipton,Skipton
346,Tanswells,Beechworth
347,Turf Club,Ballarat
348,City of Hamburg,Ballarat
349,Rose of Australia,Long Gully
350,National,Ballarat
351,Fleece Inn,Green Hills
352,Russell Square,Ballarat
353,Harp of Erin,Kyneton
354,Fleece Inn,Condah
355,Criterion,Kyneton
356,Commercial,Bealiba
357,Royal Standard,Linton
358,Half-way House,Mount Clear
359,Shamrock,Swan Hill
360,Royal,Benalla
361,Leura,Camperdown
362,Old Eglington,Ballarat
363,Wards Family,Ballarat
364,Rifle Butts,Ballarat
365,Dromana,Dromana
366,Commercial,Queenscliff
367,Border Inn,Bacchus Marsh
368,Sportsmans Arms,Baringhup
369,Kilmore,Kilmore
370,Haymarket,Ballarat
371,Council Club Hotel & St Georges Hall,Wangaratta
372,Miners Right,Creswick
373,Seven Star,Creswick
374,Turf Club,Ballarat
375,Cricketers Arms,Mooroopna
376,Macs,Glenthompson
377,White Horse,Ballarat
378,Lancefield Hotel & Store,Mooroopna
379,Commercial,Mansfield
380,National,Ballarat
381,Brewers Arms,Ballarat
382,Asylum Hill,Ararat
383,Victoria,Red Hill
384,Camp,Beaufort
385,Bontherambo Hotel & P O,Boorhaman
